"","Station","percentNatural","percentNot"
"1","SGE1",0.977793044263069,0.0204606570002335
"2","SGE10",0.966678042235259,0.0207555492821949
"3","SGE11",0.973465859579998,0.0209722405008564
"4","SGE12",0.966851553172865,0.0138844253995097
"5","SGE13",0.96331647989568,0.0176072361068952
"6","SGE14",0.958283804090812,0.0200423435362617
"7","SGE15",0.956512840819697,0.0144081516750063
"8","SGE16",0.95512101830468,0.0178572855913414
"9","SGE17",0.948570445315084,0.0199299067270949
"10","SGE18",0.94562479794566,0.0141128128944031
"11","SGE19",0.943159529702875,0.0174929807976603
"12","SGE2",0.977986368255874,0.0202296724740087
"13","SGE20",0.943478736182467,0.0185576325249739
"14","SGE21",0.935265615234476,0.0192736523241192
"15","SGE22",0.935730433859738,0.0164129875228195
"16","SGE23",0.936633198818564,0.0178758774977545
"17","SGE24",0.931702392442863,0.0162718813296835
"18","SGE25",0.92974065085107,0.0172882501437575
"19","SGE26",0.928767267448291,0.0177903724539399
"20","SGE27",0.930565994668426,0.0134537203475516
"21","SGE28",0.925997627706651,0.014706379526499
"22","SGE29",0.927090021010688,0.0105935168431455
"23","SGE3",0.972196553005867,0.0195598816540732
"24","SGE30",0.914452352234092,0.0136072418522148
"25","SGE4",0.975969539940837,0.0196034140969363
"26","SGE5",0.977734636048626,0.017993768725835
"27","SGE6",0.976690929808906,0.0178781738674533
"28","SGE7",0.968392950165164,0.0216606964005634
"29","SGE8",0.974217558986723,0.015373441855535
"30","SGE9",0.972161279688576,0.0169683349713952
"31","SKP1",0.973763305184535,0.0262179611478084
"32","SKP10",0.971476828720051,0.0284948785236766
"33","SKP11",0.953157556302329,0.046805353729668
"34","SKP12",0.957258026461697,0.0427067873966787
"35","SKP13",0.962283556526619,0.0376830888771809
"36","SKP14",0.946185930592865,0.0537705419503691
"37","SKP15",0.968907800170627,0.0310624863669728
"38","SKP16",0.939042662657529,0.0609011149623369
"39","SKP17",0.945147626000935,0.0548084895210351
"40","SKP18",0.951710781245443,0.0482471734050186
"41","SKP19",0.933829038566537,0.0661028856806629
"42","SKP2",0.96823840420809,0.0317369220594222
"43","SKP20",0.927498932536891,0.0724242654007153
"44","SKP21",0.934271201755091,0.0656564141540065
"45","SKP22",0.937505497441911,0.0624344996409906
"46","SKP23",0.938980872612587,0.0609354074733518
"47","SKP24",0.943932071918443,0.056013062254908
"48","SKP25",0.94469276087822,0.0552371964327343
"49","SKP26",0.948042352130225,0.0519082756979468
"50","SKP27",0.954574743901789,0.0453850440836331
"51","SKP28",0.972306821821145,0.0276680361637287
"52","SKP29",0.973332694312725,0.0266449226012364
"53","SKP3",0.971218587032982,0.0287612726920434
"54","SKP30",0.975461323656288,0.024518561620405
"55","SKP31",0.91607704879041,0.0838234071512406
"56","SKP32",0.904139411400982,0.0956584771112039
"57","SKP33",0.894309946737751,0.105428173585609
"58","SKP34",0.901090357437795,0.0987505388916435
"59","SKP35",0.914203564720182,0.0856748651889602
"60","SKP36",0.909658723947809,0.0902215015475255
"61","SKP37",0.900152244597371,0.0997024026430492
"62","SKP4",0.972107820696474,0.0278702360992284
"63","SKP5",0.973322073037161,0.0266564676556836
"64","SKP6",0.961139520961213,0.0388312248204841
"65","SKP7",0.964194760049151,0.0357720351891543
"66","SKP8",0.9677705203178,0.0321988554504757
"67","SKP9",0.969362689694223,0.0306071431346641
"68","SNA1",0.896476523628065,0.103369482327402
"69","SNA10",0.888742314491034,0.111017808842034
"70","SNA11",0.883869203319626,0.115852729046121
"71","SNA12",0.878377347599331,0.121286001394552
"72","SNA13",0.874532222965718,0.125109803217533
"73","SNA14",0.869003183267359,0.13054911722421
"74","SNA15",0.875248740392849,0.124308225405178
"75","SNA16",0.866257411786992,0.133161024186893
"76","SNA17",0.868441560693532,0.131120632053308
