"Community","X","Y","distanceToNearestCommunity","TerritoryArea","rainfall","rainfallSD","humidity","humiditySD","airTemp","airTempSD","rootMoisture","rootMoistureSD","PercentNaturalArea","nIndiv","nSpecies","OperatingDays","shannonIndex","simpsonIndex","PopulationSize","DaysHuntingPerMonthDry","DaysHuntingPerMonthWet","DaysFishingPerMonthDry","DaysFishingPerMonthWet","PercentPopWhoHunt","PercentPopWhoFish","MeanTemperature","MeanDistToWater","MeanElevation","NatArea20KMScaled","Ag20KMScaled","natArea20KMSD","natArea20KM","natArea10KMSD","natArea10KM","agArea10KMSD","agArea10KM","agArea20KM","agArea20KMSD"
"Remolino",-76.2842051107813,-0.293647752494212,16507.2163518489,212619183,6.32097320668863e-05,2.51786576188282e-07,0.0160907652482989,7.28986240922959e-06,297.709900612534,0.0713802485641671,762.131878806448,1.38389266743764,0.957,2885,43,130,2.2,0.76,NA,NA,NA,NA,NA,NA,NA,24.5557037353519,4430.3792685642,249.133333333333,0.234157128805676,-0.164441874599486,0.0174356050750207,0.9607325357275,0.0234980445898386,0.972208360602225,0.0234737804484987,0.0252795343638008,0.0322671141749726,0.0170945522047889
"San Pablo",-76.4275555509909,-0.25544322641783,7894.75299569228,56178602,6.32390613084453e-05,2.81999434622979e-07,0.0160886390256563,8.59901249488896e-06,297.693848611491,0.021619526437527,761.909273582751,0.74393344818311,0.904,316,26,117,2.173,0.81,NA,NA,NA,NA,NA,NA,NA,24.551568603516,916.818245235749,254.75,-1.02396613151683,1.17013508080805,0.0105257856752729,0.895982953538311,0.0411120167696199,0.885832377224416,0.0409122999981236,0.109069257035054,0.0981958677919885,0.0100574540889385
"Sinangoe",-77.4318576698273,0.123716178264446,111825.717218715,307786455,7.33660276418392e-05,1.22560893119548e-07,0.0130294438311884,0.00104253750020024,291.883029095606,2.49076302486338,585.008876487482,15.0083830695922,0.953,2127,38,121,2.773,0.914,104,2.37,0.84,2.27,1.22,67,80,19.884952799479,1937.50975762881,709.466666666667,0.346693622559654,-0.634473088672211,0.0160157285652003,0.96652425040396,0.00675863720525235,0.977813821613799,0.0046069192696373,0.0110671980897454,0.00904734256169405,0.00367127438319065
"Siona",-76.4846581118283,-0.213100698835885,7894.75299569228,121874135,6.29015415642006e-05,2.13703537886116e-07,0.0160590629039097,4.04928454336944e-05,297.619883627696,0.100793376225609,763.37311840341,1.41454392808032,0.877,762,35,120,2.53,0.848,116,1.36,0.43,2.38,0.46,74,95,24.4556130149151,1999.69250788834,255.227272727273,-1.74801680972367,1.77486665356744,0.0202262223148766,0.858719530806842,0.0651277350816214,0.871275597957252,0.0644054800498222,0.123145246741001,0.128069902933492,0.0153234004704333
"Zabalo",-75.6677367,-0.3567557,68977.7258444779,1374033979,6.72247952024918e-05,2.97259248327464e-08,0.0160623574629426,5.45410439372063e-05,298.025253295898,0.0121307373046875,727.818511962891,49.9988708496094,0.999,681,29,98,2.857,0.928,87,4.62,1.98,5.3,1.1,49,98,24.8989044189454,4744.28049177231,243.057692307692,0.974085877503184,-0.814689937559905,0.000143372280655372,0.998813126746579,0.000612402922923653,0.997888693239956,0.000136891429025542,0.000389543309377217,0.000144542180037826,3.04117717922152e-05
