"","Station","Rainfall","Temperature","DistToWater","percentNatural","ag20KM","natArea20KM","Community","Year","RainfallScaled","TemperatureScaled","PercentNaturalScaled","Ag20KMScaled","NatArea20KMScaled","NearestCommunity","DistToComm","DaysEffort","DaysEffortScaled"
"1","SGE1",6.5657302911859e-05,21.539727783203,111.533306585071,0.977793044263069,0.0127623692224576,0.978692393658289,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.67256286037399,-0.559270863570538,0.58312795225892,"Sinangoe",4.45973658514478,105,0.382721563297746
"2","SGE10",6.5657302911859e-05,21.539727783203,3090.45001937066,0.966678042235259,0.0119994369311196,0.978147906959325,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.420006167621066,-0.574714684342134,0.572548248765203,"Sinangoe",4.83586097283653,116,0.683610463567564
"3","SGE11",6.5657302911859e-05,21.539727783203,2386.37641427673,0.973465859579998,0.0143545303954267,0.972008859434206,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.574239940616246,-0.527041199059015,0.453262869208474,"Sinangoe",9.8164637818047,115,0.656256927179399
"4","SGE12",6.5657302911859e-05,21.539727783203,174.434956933693,0.966851553172865,0.0111138293585086,0.980074367697406,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.423948708382515,-0.592641785843353,0.609980537634598,"Sinangoe",2.22398629542256,115,0.656256927179399
"5","SGE13",6.5657302911859e-05,21.539727783203,2473.87795237959,0.96331647989568,0.0113547063157467,0.977931305463522,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.343624259201917,-0.587765782300406,0.568339551645063,"Sinangoe",3.68461732073099,115,0.656256927179399
"6","SGE14",6.5657302911859e-05,21.539727783203,4438.77998075062,0.958283804090812,0.0115639153214513,0.974682156789467,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.22927106756102,-0.583530824068085,0.505206641981939,"Sinangoe",5.4409794966926,115,0.656256927179399
"7","SGE15",6.5657302911859e-05,21.539727783203,257.035028267527,0.956512840819697,0.0099029512232979,0.978377131883651,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.18903098252814,-0.617153246570284,0.577002226681203,"Sinangoe",4.23053317702826,114,0.628903390791234
"8","SGE16",6.5657302911859e-05,21.539727783203,2431.36671383441,0.95512101830468,0.0103767540304582,0.976113722469816,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.157405788901341,-0.607562191481987,0.533022822723674,"Sinangoe",5.03137845701363,114,0.628903390791234
"9","SGE17",6.5657302911859e-05,21.539727783203,4763.81719709372,0.948570445315084,0.00983423867770644,0.972926361019307,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.00856271665091296,-0.618544175032643,0.471090475913718,"Sinangoe",6.95250062330486,114,0.628903390791234
"10","SGE18",6.5657302911859e-05,21.539727783203,441.07023689206,0.94562479794566,0.00717727969637815,0.970900780081192,"Sinangoe","2022",0.962808762341213,-0.802884315484383,-0.0583687113215445,-0.672328237879368,0.431732222041726,"Sinangoe",6.37346238819116,116,0.683610463567564
"11","SGE19",6.5657302911859e-05,21.539727783203,2642.56362211451,0.943159529702875,0.00705009569958853,0.969627730537855,"Sinangoe","2022",0.962808762341213,-0.802884315484383,-0.114384894907367,-0.674902787251225,0.406996105021911,"Sinangoe",7.27949340400002,114,0.628903390791234
"12","SGE2",6.5657302911859e-05,21.539727783203,147.047327785305,0.977986368255874,0.0128096656547564,0.977978299927757,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.67695559625748,-0.558313455381303,0.569252682302607,"Sinangoe",4.56479722763185,0,-2.48939975745961
"13","SGE20",6.53676470392384e-05,16.575402832031,4389.56478075159,0.943478736182467,0.0077289115940858,0.970194491703589,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.107131838849495,-0.661161710709372,0.41800861477948,"Sinangoe",7.90362367270555,116,0.683610463567564
"14","SGE21",6.53676470392384e-05,16.575402832031,4682.1620685655,0.935265615234476,0.00603612634979795,0.962194396735679,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.293751567628173,-0.695428279596811,0.262561965957762,"Sinangoe",9.88194589661556,113,0.601549854403069
"15","SGE22",6.5657302911859e-05,21.539727783203,808.435162949422,0.935730433859738,0.00498809358624443,0.958894641173437,"Sinangoe","2022",0.962808762341213,-0.802884315484383,-0.283189891217103,-0.716643307911704,0.198445734070653,"Sinangoe",9.01202889303785,116,0.683610463567564
"16","SGE23",6.53676470392384e-05,16.575402832031,2976.6891821942,0.936633198818564,0.00594090766840341,0.963553731356416,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.262677134515497,-0.697355764206207,0.288974653840646,"Sinangoe",9.03176183223912,116,0.683610463567564
"17","SGE24",6.53676470392384e-05,16.575402832031,563.657836267058,0.931702392442863,0.00426322214353825,0.9498348349524,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.374715634169952,-0.731316673780083,0.0224082593052216,"Sinangoe",10.5202755279866,112,0.574196318014903
"18","SGE25",6.53676470392384e-05,16.575402832031,2755.32358139057,0.92974065085107,0.0043004584841689,0.953952845825879,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.419290611953983,-0.730562909157168,0.102423683204755,"Sinangoe",11.1947408119725,115,0.656256927179399
"19","SGE26",6.53676470392384e-05,16.575402832031,3886.36202870396,0.928767267448291,0.00478183469496864,0.950989039889899,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.441407971210543,-0.720818547819069,0.044835154274276,"Sinangoe",11.9805093889639,115,0.656256927179399
"20","SGE27",6.53676470392384e-05,16.575402832031,764.064104561324,0.930565994668426,0.00391219114184869,0.94127273669499,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.400537029689763,-0.738422494226954,-0.14395845088202,"Sinangoe",11.911917023264,88,-0.0822885553010641
"21","SGE28",6.53676470392384e-05,16.575402832031,2709.5590264436,0.925997627706651,0.00379185314209448,0.940657587120841,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.504340128264183,-0.740858462033425,-0.155911176469555,"Sinangoe",13.1234375982696,116,0.683610463567564
"22","SGE29",6.53676470392384e-05,16.575402832031,552.961816465777,0.927090021010688,0.00374991221548737,0.926198127425173,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.479518608721248,-0.741707460248429,-0.436867160427284,"Sinangoe",14.4057422895102,116,0.683610463567564
"23","SGE3",6.5657302911859e-05,21.539727783203,2041.0581599086,0.972196553005867,0.0122366250621791,0.978389552083524,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.545398572018204,-0.569913352655401,0.577243558622347,"Sinangoe",4.49372532349365,113,0.601549854403069
"24","SGE30",6.53676470392384e-05,16.575402832031,1773.42192260531,0.914452352234092,0.00383809109658281,0.925640193772502,"Sinangoe","2022",0.884212301263158,-2.88366118525609,-0.766673556811962,-0.73992248030861,-0.447708146305634,"Sinangoe",15.8650117656497,116,0.683610463567564
"25","SGE4",6.5657302911859e-05,21.539727783203,1962.0816415498,0.975969539940837,0.0124958060384491,0.978059517651443,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.631128929935534,-0.564666826075826,0.57083079144038,"Sinangoe",5.21884725388309,117,0.71096399995573
"26","SGE5",6.5657302911859e-05,21.539727783203,303.49142895541,0.977734636048626,0.0124677676362653,0.97919534041226,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.671235700429941,-0.565234399454177,0.592900509679054,"Sinangoe",2.21199858111851,116,0.683610463567564
"27","SGE6",6.5657302911859e-05,21.539727783203,613.143225410814,0.976690929808906,0.0123254264483748,0.978506089871253,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.647520455443953,-0.568115771522388,0.579507957812138,"Sinangoe",2.88147992208638,116,0.683610463567564
"28","SGE7",6.5657302911859e-05,21.539727783203,1879.14246413027,0.968392950165164,0.0143927710228793,0.972569374605922,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.458972555037723,-0.526267104944404,0.464154015551926,"Sinangoe",9.88990868347577,114,0.628903390791234
"29","SGE8",6.5657302911859e-05,21.539727783203,550.865052044747,0.974217558986723,0.0119358723801219,0.979355831097757,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.591320163870529,-0.576001403418232,0.596018940063656,"Sinangoe",0.44642752947811,119,0.76567107273206
"30","SGE9",6.5657302911859e-05,21.539727783203,1554.95648968255,0.972161279688576,0.0119346336184352,0.978808163824042,"Sinangoe","2022",0.962808762341213,-0.802884315484383,0.544597086572213,-0.576026479317738,0.58537743609279,"Sinangoe",2.68789188510945,116,0.683610463567564
"31","SKP1",5.82914180995431e-05,24.675622558594,995.870364714644,0.973763305184535,0.0159614979279182,0.978549570974493,"Remolino","2022",-1.03588186912727,0.511513387899437,0.580998542905999,-0.494511813634721,0.580352821755978,"Sewaya",1.32338081501495,79,-0.328470382794552
"32","SKP10",5.85716843488626e-05,24.551568603516,7032.30922764214,0.971476828720051,0.0169450157910917,0.976132406905425,"Remolino","2022",-0.95983322852199,0.459516670748807,0.529044892111996,-0.474602742047416,0.533385872526485,"Sewaya",8.77245354276264,24,-1.83291488414364
"33","SKP11",5.85716843488626e-05,24.551568603516,822.808646753423,0.953157556302329,0.0309418248006145,0.963814337766326,"Remolino","2022",-0.95983322852199,0.459516670748807,0.112791719698377,-0.191269329408345,0.29403839286431,"Remolino",2.33382528658365,24,-1.83291488414364
"34","SKP12",5.85716843488626e-05,24.551568603516,2445.45081137076,0.957258026461697,0.0292818612092398,0.964905164757624,"Remolino","2022",-0.95983322852199,0.459516670748807,0.205963199072914,-0.224871498937186,0.315233816283869,"Remolino",3.55564786615738,121,0.820378145508391
"35","SKP13",5.85716843488626e-05,24.551568603516,4596.36932039641,0.962283556526619,0.0264387445832139,0.966915256521564,"Remolino","2022",-0.95983322852199,0.459516670748807,0.32015402417141,-0.282423897890029,0.354291106201309,"Remolino",5.53297972231439,20,-1.94232902969631
"36","SKP14",5.85716843488626e-05,24.551568603516,864.4862338422,0.946185930592865,0.0349568598128913,0.959692996053308,"Remolino","2022",-0.95983322852199,0.459516670748807,-0.0456185736950093,-0.109994120814746,0.213958248752577,"Remolino",4.5228475802684,74,-0.465238064735378
"37","SKP15",5.85716843488626e-05,24.551568603516,6851.50368115962,0.968907800170627,0.0230734254396016,0.96822445786482,"Remolino","2022",-0.95983322852199,0.459516670748807,0.470671051746787,-0.35054709346486,0.379729674400604,"Remolino",8.84180671668921,26,-1.77820781136731
"38","SKP16",5.85716843488626e-05,24.551568603516,2813.61388885635,0.939042662657529,0.0440130289315602,0.951417268718973,"Remolino","2022",-0.95983322852199,0.459516670748807,-0.207928946710023,0.0733273276727858,0.0531558975498665,"Remolino",6.8920265466004,125,0.929792291061052
"39","SKP17",5.85716843488626e-05,24.551568603516,4091.8931961027,0.945147626000935,0.0384318002464998,0.954404309635337,"Remolino","2022",-0.95983322852199,0.459516670748807,-0.0692110816542436,-0.0396518927324772,0.11119589610047,"Remolino",7.69004875700775,122,0.847731681896556
"40","SKP18",5.85716843488626e-05,24.551568603516,5159.40376111356,0.951710781245443,0.0311867257819171,0.960357809393218,"Remolino","2022",-0.95983322852199,0.459516670748807,0.079917886422383,-0.186311868693984,0.226875971129055,"Remolino",7.99900239325419,90,-0.0275814825247335
"41","SKP19",5.85716843488626e-05,24.551568603516,2070.1852183869,0.933829038566537,0.0544382038050453,0.941076177646165,"Remolino","2022",-0.95983322852199,0.459516670748807,-0.326393671627158,0.284361169190091,-0.147777711223057,"Bellavista",7.35130416597531,125,0.929792291061052
"42","SKP2",5.85716843488626e-05,24.551568603516,775.066431271372,0.96823840420809,0.0188200748324652,0.974884132196499,"Remolino","2022",-0.95983322852199,0.459516670748807,0.455460939322379,-0.436646456673324,0.509131145415147,"Sewaya",1.73868160078517,29,-1.69614720220282
"43","SKP20",5.85716843488626e-05,24.551568603516,2243.94174950026,0.927498932536891,0.0654263029981268,0.929368129230542,"Remolino","2022",-0.95983322852199,0.459516670748807,-0.470227261546685,0.506790127152886,-0.375272121945875,"Bellavista",4.83626819716438,97,0.163893272192424
"44","SKP21",5.85716843488626e-05,24.551568603516,5289.51219299744,0.934271201755091,0.065733356786193,0.925539374121425,"Remolino","2022",-0.95983322852199,0.459516670748807,-0.316346775344197,0.513005729407467,-0.449667132662454,"Bellavista",5.95145517921162,121,0.820378145508391
"45","SKP22",5.85716843488626e-05,24.551568603516,5229.44795034976,0.937505497441911,0.0587592064051736,0.932604430618009,"Remolino","2022",-0.95983322852199,0.459516670748807,-0.242856638319972,0.37182999239713,-0.312388842775206,"Bellavista",6.88696928412209,121,0.820378145508391
"46","SKP23",5.85716843488626e-05,24.551568603516,7058.55558498761,0.938980872612587,0.0616466250329504,0.929575792361312,"Remolino","2022",-0.95983322852199,0.459516670748807,-0.209332949098557,0.430279184135692,-0.371237102625282,"Bellavista",7.55884296661509,121,0.820378145508391
