InputID,TargetID,Distance
SNA1,1.00000000,943.928268446724
SNA10,1.00000000,4599.33635921023
SNA11,1.00000000,4697.42461290699
SNA12,1.00000000,2677.26123745728
SNA13,1.00000000,689.386942318027
SNA14,1.00000000,922.58506058816
SNA15,1.00000000,804.092525162053
SNA16,1.00000000,2216.16909569681
SNA17,1.00000000,832.495783402451
SNA18,1.00000000,1012.3139168466
SNA19,1.00000000,2579.80860291934
SNA2,1.00000000,451.658972658098
SNA20,1.00000000,3169.53603262381
SNA21,1.00000000,837.548588066882
SNA22,1.00000000,773.669412921839
SNA23,1.00000000,2293.72766073078
SNA3,1.00000000,1713.66743770192
SNA4,1.00000000,3315.4078180328
SNA5,1.00000000,162.746441898965
SNA6,1.00000000,2257.07789314221
SNA7,1.00000000,1051.72702193437
SNA8,1.00000000,2838.84645097551
SNA9,1.00000000,4866.48647560361
ZAB1,1.00000000,997.101825329717
ZAB1,1.00000000,997.101825329717
ZAB2,1.00000000,3079.98719457237
ZAB2,1.00000000,3079.98719457237
ZAB3,1.00000000,5035.8145523031
ZAB3,1.00000000,5035.8145523031
ZAB4,1.00000000,7198.01744521399
ZAB4,1.00000000,7198.01744521399
ZAB5,1.00000000,2422.37087056972
ZAB6,1.00000000,4555.39027163356
ZAB7,1.00000000,6679.86938250152
ZAB7,1.00000000,6679.86938250152
ZAB8,1.00000000,5504.75743206704
ZAB8,1.00000000,5504.75743206704
ZAB9,1.00000000,7599.51233569309
ZAB9,1.00000000,7599.51233569309
ZAB10,1.00000000,1287.9301589548
ZAB10,1.00000000,1287.9301589548
ZAB11,1.00000000,3551.86756376267
ZAB11,1.00000000,3551.86756376267
ZAB12,1.00000000,5874.71864595998
ZAB12,1.00000000,5874.71864595998
ZAB13,1.00000000,7892.25379451137
ZAB13,1.00000000,7892.25379451137
ZAB14,1.00000000,1117.44899351171
ZAB15,1.00000000,2660.46067589775
ZAB15,1.00000000,2660.46067589775
ZAB16,1.00000000,4400.95880566034
ZAB16,1.00000000,4400.95880566034
ZAB17,1.00000000,6548.89794264099
ZAB17,1.00000000,6548.89794264099
ZAB18,1.00000000,5649.7984673158
ZAB18,1.00000000,5649.7984673158
ZAB19,1.00000000,3455.3441370153
ZAB20,1.00000000,1065.46439663382
ZAB21,1.00000000,7635.70473367089
ZAB21,1.00000000,7635.70473367089
ZAB22,1.00000000,8358.99551631797
ZAB22,1.00000000,8358.99551631797
ZAB23,1.00000000,2317.51411260493
ZAB24,1.00000000,1985.94473106444
ZAB24,1.00000000,1985.94473106444
ZAB25,1.00000000,3810.18850894528
ZAB26,1.00000000,5606.59144055167
ZAB26,1.00000000,5606.59144055167
ZAB27,1.00000000,1202.11314494829
ZAB27,1.00000000,1202.11314494829
ZAB28,1.00000000,3233.26279571899
ZAB29,1.00000000,5948.24670146785
ZAB29,1.00000000,5948.24670146785
ZAB30,1.00000000,7663.25825235783
ZAB30,1.00000000,7663.25825235783
SGE1,1.00000000,111.533306585071
SGE10,1.40173519,3090.45001937066
SGE11,1.00000000,2386.37641427673
SGE12,1.00000000,174.434956933693
SGE13,1.00000000,2473.87795237959
SGE14,1.00000000,4438.77998075062
SGE15,1.00000000,257.035028267527
SGE16,1.00000000,2431.36671383441
SGE17,1.00000000,4763.81719709372
SGE18,1.00000000,441.07023689206
SGE19,1.00000000,2642.56362211451
SGE2,1.00000000,147.047327785305
SGE20,1.00000000,4389.56478075159
SGE21,1.00000000,4682.1620685655
SGE22,1.00000000,808.435162949422
SGE23,1.00000000,2976.6891821942
SGE24,1.00000000,563.657836267058
SGE25,1.00000000,2755.32358139057
SGE26,1.00000000,3886.36202870396
SGE27,1.00000000,764.064104561324
SGE28,1.00000000,2709.5590264436
SGE29,1.00000000,552.961816465777
SGE3,1.40173519,2041.0581599086
SGE30,1.00000000,1773.42192260531
SGE4,1.00000000,1962.0816415498
SGE5,1.00000000,303.49142895541
SGE6,1.40173519,613.143225410814
SGE7,1.00000000,1879.14246413027
SGE8,1.00000000,550.865052044747
SGE9,1.40173519,1554.95648968255
SKP1,1.00000000,995.870364714644
SKP10,1.00000000,7032.30922764214
SKP11,1.00000000,822.808646753423
SKP12,1.00000000,2445.45081137076
SKP13,1.00000000,4596.36932039641
SKP14,1.00000000,864.4862338422
SKP15,1.00000000,6851.50368115962
SKP16,1.00000000,2813.61388885635
SKP17,1.00000000,4091.8931961027
SKP18,1.00000000,5159.40376111356
SKP19,1.00000000,2070.1852183869
SKP2,1.00000000,775.066431271372
SKP20,1.00000000,2243.94174950026
SKP21,1.00000000,5289.51219299744
SKP22,1.00000000,5229.44795034976
SKP23,1.00000000,7058.55558498761
SKP24,1.00000000,6786.34068937012
SKP25,1.00000000,9393.12392873847
SKP26,1.00000000,9338.33944636014
SKP27,1.00000000,8804.81709978324
SKP28,1.00000000,4302.03945097433
SKP29,1.00000000,4575.07255265672
SKP3,1.00000000,1899.80730163346
SKP30,1.00000000,4799.63005666824
SKP31,1.00000000,937.270048836257
SKP32,1.00000000,490.679001962162
SKP33,1.00000000,259.481598049474
SKP34,1.00000000,1226.93335012503
SKP35,1.00000000,1162.60882153879
SKP36,1.00000000,1019.72950366507
SKP37,1.00000000,524.176200007291
SKP4,1.00000000,4487.56449719659
SKP5,1.00000000,6458.8914887116
SKP6,1.00000000,562.078819963628
SKP7,1.00000000,2562.80777659584
SKP8,1.00000000,4373.24426011572
SKP9,1.00000000,6227.2024287128
