cameras$St,SAMPLE_1
SNA1,297.642242431641
SNA10,297.642242431641
SNA11,297.642242431641
SNA12,297.642242431641
SNA13,297.642242431641
SNA14,297.642242431641
SNA15,297.642242431641
SNA16,297.469207763672
SNA17,297.642242431641
SNA18,297.469207763672
SNA19,297.469207763672
SNA2,297.642242431641
SNA20,297.469207763672
SNA21,297.469207763672
SNA22,297.642242431641
SNA23,297.642242431641
SNA3,297.701568603516
SNA4,297.642242431641
SNA5,297.642242431641
SNA6,297.701568603516
SNA7,297.642242431641
SNA8,297.642242431641
SNA9,297.642242431641
ZAB1,298.050750732422
ZAB1,298.050750732422
ZAB2,298.050750732422
ZAB2,298.050750732422
ZAB3,298.050750732422
ZAB3,298.050750732422
ZAB4,298.050750732422
ZAB4,298.050750732422
ZAB5,298.050750732422
ZAB6,298.050750732422
ZAB7,298.050750732422
ZAB7,298.050750732422
ZAB8,298.050750732422
ZAB8,298.050750732422
ZAB9,298.050750732422
ZAB9,298.050750732422
ZAB10,298.050750732422
ZAB10,298.050750732422
ZAB11,298.050750732422
ZAB11,298.050750732422
ZAB12,298.050750732422
ZAB12,298.050750732422
ZAB13,298.050750732422
ZAB13,298.050750732422
ZAB14,298.050750732422
ZAB15,298.050750732422
ZAB15,298.050750732422
ZAB16,298.050750732422
ZAB16,298.050750732422
ZAB17,298.050750732422
ZAB17,298.050750732422
ZAB18,298.050750732422
ZAB18,298.050750732422
ZAB19,298.050750732422
ZAB20,298.050750732422
ZAB21,298.050750732422
ZAB21,298.050750732422
ZAB22,298.050750732422
ZAB22,298.050750732422
ZAB23,298.050750732422
ZAB24,298.050750732422
ZAB24,298.050750732422
ZAB25,298.050750732422
ZAB26,298.050750732422
ZAB26,298.050750732422
ZAB27,298.002746582031
ZAB27,298.002746582031
ZAB28,298.050750732422
ZAB29,298.050750732422
ZAB29,298.050750732422
ZAB30,298.050750732422
ZAB30,298.050750732422
SGE1,294.689727783203
SGE10,294.689727783203
SGE11,294.689727783203
SGE12,294.689727783203
SGE13,294.689727783203
SGE14,294.689727783203
SGE15,294.689727783203
SGE16,294.689727783203
SGE17,294.689727783203
SGE18,294.689727783203
SGE19,294.689727783203
SGE2,294.689727783203
SGE20,289.725402832031
SGE21,289.725402832031
SGE22,294.689727783203
SGE23,289.725402832031
SGE24,289.725402832031
SGE25,289.725402832031
SGE26,289.725402832031
SGE27,289.725402832031
SGE28,289.725402832031
SGE29,289.725402832031
SGE3,294.689727783203
SGE30,289.725402832031
SGE4,294.689727783203
SGE5,294.689727783203
SGE6,294.689727783203
SGE7,294.689727783203
SGE8,294.689727783203
SGE9,294.689727783203
SKP1,297.825622558594
SKP10,297.701568603516
SKP11,297.701568603516
SKP12,297.701568603516
SKP13,297.701568603516
SKP14,297.701568603516
SKP15,297.701568603516
SKP16,297.701568603516
SKP17,297.701568603516
SKP18,297.701568603516
SKP19,297.701568603516
SKP2,297.701568603516
SKP20,297.701568603516
SKP21,297.701568603516
SKP22,297.701568603516
SKP23,297.701568603516
SKP24,297.701568603516
SKP25,297.701568603516
SKP26,297.701568603516
SKP27,297.701568603516
SKP28,297.701568603516
SKP29,297.701568603516
SKP3,297.701568603516
SKP30,297.701568603516
SKP31,297.701568603516
SKP32,297.701568603516
SKP33,297.701568603516
SKP34,297.701568603516
SKP35,297.701568603516
SKP36,297.701568603516
SKP37,297.701568603516
SKP4,297.701568603516
SKP5,297.701568603516
SKP6,297.701568603516
SKP7,297.701568603516
SKP8,297.701568603516
SKP9,297.701568603516
