fid,natArea10KM,Station,natArea20KM,natArea2KM,natArea30KM,natArea40KM,natArea50KM
1,0.9267153064363532,SNA1,0.8830403906940898,0.9954456786341872,0.9059605838506993,0.9208308774945133,0.9235748009883382
2,0.9458972802887198,SNA10,0.8797932717465287,0.9994841912683253,0.9008206081598187,0.9169095803893098,0.9186167820409857
3,0.9321689890133278,SNA11,0.8805152143301513,0.9826390568806748,0.8973049931316238,0.9141699115150548,0.9156078284721466
4,0.9263371572761059,SNA12,0.864951613734107,0.9999355031160057,0.8940033956125046,0.9113616386445458,0.9130900584065742
5,0.8923135761177242,SNA13,0.8522725642033993,0.9760371412220816,0.889921156504085,0.9076965901020324,0.910433778422639
6,0.825611025547756,SNA14,0.8413892177064374,0.9925358697404482,0.8837004189983919,0.9023683027264905,0.9076498936537829
7,0.8245779461696948,SNA15,0.8510533338568205,0.9963391230022417,0.8887994075311748,0.9072646258983827,0.9121981037925118
8,0.8003886555909068,SNA16,0.8416150680737021,0.8835748948038757,0.8825702969421465,0.9000124982689162,0.9071511850833994
9,0.8613426896360459,SNA17,0.8423608540788127,0.9856155713053224,0.8832745587444847,0.9013728335422576,0.9059192051317064
10,0.8123167874163228,SNA18,0.8341038590892424,0.9871075419670069,0.8784736817456762,0.8953460077170652,0.9027190004889426
11,0.7757320561942075,SNA19,0.8305758308807435,0.947489762357721,0.8769223321656113,0.8924222518137879,0.9019594685519521
12,0.8694791477555432,SNA2,0.8771912583935929,0.9948975890503712,0.9022500467128738,0.9174717931953792,0.9209241439377506
13,0.7350440029759937,SNA20,0.8283021738424103,0.9797236286239479,0.8698440365835034,0.885916260020035,0.8986852805690837
14,0.7939238303597573,SNA21,0.8278913475441244,0.9352922208786779,0.8723608645092599,0.8875403123263894,0.897657284448388
15,0.9040264430828765,SNA22,0.8471646352425705,0.9711980266658068,0.8844150244745534,0.9027500422851491,0.9060511669161098
16,0.9273597597706057,SNA23,0.8604301410225217,0.9714967434062036,0.888680638478107,0.9078221781775524,0.9088464068258771
17,0.8444445590986204,SNA3,0.878058147828157,0.9760705391180998,0.8999425537281011,0.9160065102811229,0.9195487349868725
18,0.9587768984760083,SNA4,0.889012381338486,0.9991374376254545,0.9089919763863327,0.9231159452535744,0.9258393256265254
19,0.8477417465778494,SNA5,0.8655986850914879,0.9989036060075941,0.8961529155334322,0.9128282181586822,0.9167042036517384
20,0.8212417747378639,SNA6,0.85950772410879694,0.9955489255332016,0.8915681904216254,0.9091959908428576,0.9143431455752116
21,0.8947357728951573,SNA7,0.8688788881074435,0.9812284901387109,0.8998077448946951,0.9152387683716019,0.9177620042600287
22,0.9438666663227084,SNA8,0.8770569313352018,1,0.9031844062477595,0.918488785213009,0.9206298774817449
23,0.9484656424180179,SNA9,0.8891242933298593,0.9994840082881169,0.9060306441845478,0.9200419594031146,0.9235650166733231
24,0.99795794185291,ZAB1,0.9987381299328939,0.9936504355253297,0.9991192690355563,0.9967308130508673,0.9937723649480981
25,0.99795794185291,ZAB1,0.9987381299328939,0.9936504355253297,0.9991192690355563,0.9967308130508673,0.9937723649480981
26,0.9982215850840042,ZAB2,0.9987474800539522,1,0.9991983079918992,0.9956429199877093,0.9937160052265765
27,0.9982215850840042,ZAB2,0.9987474800539522,1,0.9991983079918992,0.9956429199877093,0.9937160052265765
28,0.9988868007898751,ZAB3,0.9987730292689082,1,0.9992594758991616,0.9958881649681236,0.9937038421331855
29,0.9988868007898751,ZAB3,0.9987730292689082,1,0.9992594758991616,0.9958881649681236,0.9937038421331855
30,0.9990411920029935,ZAB4,0.9988850286288519,1,0.9992927451661281,0.996421692469645,0.9935209466277388
31,0.9990411920029935,ZAB4,0.9988850286288519,1,0.9992927451661281,0.996421692469645,0.9935209466277388
32,0.9980662434103216,ZAB5,0.9987859866096749,1,0.999109598459846,0.9957499923454136,0.9934706787627428
33,0.9982637937669326,ZAB6,0.9988445689867652,1,0.9991771413019345,0.9958908321527186,0.9935456494360625
34,0.9989158067892927,ZAB7,0.9989452087895991,1,0.9992684613333219,0.9961534354586503,0.9933429933919954
35,0.9989158067892927,ZAB7,0.9989452087895991,1,0.9992684613333219,0.9961534354586503,0.9933429933919954
36,0.9980662265828096,ZAB8,0.9989476976737028,1,0.9991242075082447,0.9957562901267191,0.9932220052412684
37,0.9980662265828096,ZAB8,0.9989476976737028,1,0.9991242075082447,0.9957562901267191,0.9932220052412684
38,0.9986586002193553,ZAB9,0.9989969318959542,1,0.9991585887582501,0.9958513780019254,0.9930787935028103
39,0.9986586002193553,ZAB9,0.9989969318959542,1,0.9991585887582501,0.9958513780019254,0.9930787935028103
40,0.9977161738466774,ZAB10,0.998785978099422,0.9920723798167946,0.9990789035941059,0.9966373386007434,0.99370067023612485
41,0.9977161738466774,ZAB10,0.998785978099422,0.9920723798167946,0.9990789035941059,0.9966373386007434,0.99370067023612485
42,0.9978144693666344,ZAB11,0.9988938685930714,1,0.9990852769154662,0.9958312398885661,0.9930442175252663
43,0.9978144693666344,ZAB11,0.9988938685930714,1,0.9990852769154662,0.9958312398885661,0.9930442175252663
44,0.9980671847483892,ZAB12,0.9988874206336417,1,0.9990848806665266,0.9957589172270329,0.9928451059676777
45,0.9980671847483892,ZAB12,0.9988874206336417,1,0.9990848806665266,0.9957589172270329,0.9928451059676777
46,0.9982699123643575,ZAB13,0.9990885374071113,1,0.9990868886768395,0.9957267988301539,0.9924999941985743
47,0.9982699123643575,ZAB13,0.9990885374071113,1,0.9990868886768395,0.9957267988301539,0.9924999941985743
48,0.9971547077693431,ZAB14,0.9987356911151017,0.994795359329681,0.9990612763812117,0.9968715842786872,0.993689673627321
49,0.9971547050182005,ZAB15,0.9987560750921965,1,0.9990611318916848,0.9965835426476318,0.9931870016562319
50,0.9971547050182005,ZAB15,0.9987560750921965,1,0.9990611318916848,0.9965835426476318,0.9931870016562319
51,0.9971556691783799,ZAB16,0.9988101412674223,1,0.9990623154819936,0.9958022800710292,0.9927183648055515
52,0.9971556691783799,ZAB16,0.9988101412674223,1,0.9990623154819936,0.9958022800710292,0.9927183648055515
53,0.9980903765938507,ZAB17,0.9988985327924997,1,0.9990829781740426,0.9959330386328193,0.9919954256554725
54,0.9980903765938507,ZAB17,0.9988985327924997,1,0.9990829781740426,0.9959330386328193,0.9919954256554725
55,0.997243955541016,ZAB18,0.9989421161303319,1,0.9990281442102492,0.9957337212603615,0.9914745663777957
56,0.997243955541016,ZAB18,0.9989421161303319,1,0.9990281442102492,0.9957337212603615,0.9914745663777957
57,0.997135979109343,ZAB19,0.9988459078719751,1,0.9990409282722785,0.9962501729875878,0.9926370696838945
58,0.9969722988225678,ZAB20,0.9987461554124292,0.9864627483843935,0.9990391724692939,0.9970164375033792,0.9932719813946141
59,0.9982137867173674,ZAB21,0.99902567113226,1,0.9990489122600968,0.9954859360947562,0.9901063383398447
60,0.9982137867173674,ZAB21,0.99902567113226,1,0.9990489122600968,0.9954859360947562,0.9901063383398447
61,0.9988919196187275,ZAB22,0.9990014256254667,1,0.9990525720452242,0.9952807668268939,0.9905879274589449
62,0.9988919196187275,ZAB22,0.9990014256254667,1,0.9990525720452242,0.9952807668268939,0.9905879274589449
63,0.9971724052797668,ZAB23,0.9987070630888912,1,0.9988710620257303,0.9968137169091227,0.9924770870408878
64,0.9971756374476375,ZAB24,0.9986007750570044,1,0.9988320193580955,0.997211005587497,0.9923638836176616
65,0.9971756374476375,ZAB24,0.9986007750570044,1,0.9988320193580955,0.997211005587497,0.9923638836176616
66,0.9972571904476742,ZAB25,0.9986885272320358,1,0.9988554077070623,0.9967851438842051,0.9916923681399165
67,0.9973522207181074,ZAB26,0.9988975482979321,1,0.9990041054819501,0.9960372154460527,0.9907889737651645
68,0.9973522207181074,ZAB26,0.9988975482979321,1,0.9990041054819501,0.9960372154460527,0.9907889737651645
69,0.9977386503842618,ZAB27,0.9985102724562447,0.9891067011513701,0.9988428970820163,0.9968141897692315,0.9917411384326064
70,0.9977386503842618,ZAB27,0.9985102724562447,0.9891067011513701,0.9988428970820163,0.9968141897692315,0.9917411384326064
71,0.9979072323445896,ZAB28,0.9985122117249061,1,0.9988513887245,0.9967549383048683,0.9911778969575065
72,0.9980490606612243,ZAB29,0.9986188193657302,1,0.998885520740613,0.9960291215746918,0.9901831856776692
73,0.9980490606612243,ZAB29,0.9986188193657302,1,0.998885520740613,0.9960291215746918,0.9901831856776692
