fid,cameras$St,cameraNum,_count,_sum,_mean
1,SNA1,1,49618145,45689920,0.920830877494513
2,SNA10,2,49617754,45494994,0.91690958038931
3,SNA11,3,49617367,45358704,0.914169911515055
4,SNA12,4,49616813,45218860,0.911361638644546
5,SNA13,5,49616206,45036461,0.907696590102032
6,SNA14,6,49615321,44771293,0.90236830272649
7,SNA15,7,49615824,45014682,0.907264625898383
8,SNA16,8,49614871,44654004,0.900012498268916
9,SNA17,9,49615265,44721852,0.901372833542258
10,SNA18,10,49614457,44422106,0.895346007717065
11,SNA19,11,49613987,44276626,0.892422251813788
12,SNA2,12,49617460,45522620,0.917471793195379
13,SNA20,13,49613100,43953052,0.885916260020035
14,SNA21,14,49613547,44034023,0.887540312326389
15,SNA22,15,49615528,44790420,0.902750042285149
16,SNA23,16,49616295,45042773,0.907822178177552
17,SNA3,17,49616905,45449408,0.916006510281123
18,SNA4,18,49618728,45803839,0.923115945253574
19,SNA5,19,49616618,45291449,0.912828218158682
20,SNA6,20,49615915,45110591,0.909195990842858
21,SNA7,21,49617271,45411650,0.915238768371602
22,SNA8,22,49617884,45573470,0.918488785213009
23,SNA9,23,49618437,45651044,0.920041959403115
24,ZAB1,24,49643536,49481242,0.996730813050867
25,ZAB1,25,49643536,49481242,0.996730813050867
26,ZAB2,26,49643798,49427496,0.995642919987709
27,ZAB2,27,49643798,49427496,0.995642919987709
28,ZAB3,28,49644015,49439887,0.995888164968124
29,ZAB3,29,49644015,49439887,0.995888164968124
30,ZAB4,30,49644140,49466498,0.996421692469645
31,ZAB4,31,49644140,49466498,0.996421692469645
32,ZAB5,32,49643440,49432455,0.995749992345414
33,ZAB6,33,49643628,49439634,0.995890832152719
34,ZAB7,34,49643779,49452821,0.99615343545865
35,ZAB7,35,49643779,49452821,0.99615343545865
36,ZAB8,36,49643356,49432684,0.995756290126719
37,ZAB8,37,49643356,49432684,0.995756290126719
38,ZAB9,38,49643472,49437520,0.995851378001925
39,ZAB9,39,49643472,49437520,0.995851378001925
40,ZAB10,40,49643119,49476186,0.996637338600743
41,ZAB10,41,49643119,49476186,0.996637338600743
42,ZAB11,42,49643058,49436108,0.995831239888566
43,ZAB11,43,49643058,49436108,0.995831239888566
44,ZAB12,44,49642983,49432443,0.995758917227033
45,ZAB12,45,49642983,49432443,0.995758917227033
46,ZAB13,46,49643111,49430976,0.995726798830154
47,ZAB13,47,49643111,49430976,0.995726798830154
48,ZAB14,48,49642699,49487396,0.996871584278687
49,ZAB15,49,49642651,49473049,0.996583542647632
50,ZAB15,50,49642651,49473049,0.996583542647632
51,ZAB16,51,49642664,49434278,0.995802280071029
52,ZAB16,52,49642664,49434278,0.995802280071029
53,ZAB17,53,49642714,49440819,0.995933038632819
54,ZAB17,54,49642714,49440819,0.995933038632819
55,ZAB18,55,49642326,49430538,0.995733721260362
56,ZAB18,56,49642326,49430538,0.995733721260362
57,ZAB19,57,49642290,49456140,0.996250172987588
58,ZAB20,58,49642332,49494221,0.997016437503379
59,ZAB21,59,49642186,49418098,0.995485936094756
60,ZAB21,60,49642186,49418098,0.995485936094756
