fid,cameras$St,cameraNum,_count,_sum,_mean
1,SNA1,1,3101166,2873898,0.926715306436353
2,SNA10,2,3101138,2933358,0.94589728028872
3,SNA11,3,3101030,2890684,0.932168989013328
4,SNA12,4,3101075,2872641,0.926337157276106
5,SNA13,5,3101078,2767134,0.892313576117724
6,SNA14,6,3101016,2560233,0.825611025547756
7,SNA15,7,3100967,2556989,0.824577946169695
8,SNA16,8,3100946,2481962,0.800388655590907
9,SNA17,9,3100940,2670972,0.861342689636046
10,SNA18,10,3100906,2518918,0.812316787416323
11,SNA19,11,3100889,2405459,0.775732056194207
12,SNA2,12,3101129,2696367,0.869479147755543
13,SNA20,13,3100813,2279234,0.735044002975994
14,SNA21,14,3100868,2461853,0.793923830359757
15,SNA22,15,3101000,2803386,0.904026443082876
16,SNA23,16,3101036,2875776,0.927359759770606
17,SNA3,17,3101113,2618718,0.84444455909862
18,SNA4,18,3101198,2973357,0.958776898476008
19,SNA5,19,3101047,2628887,0.847741746577849
20,SNA6,20,3100965,2546642,0.821241774737864
21,SNA7,21,3101158,2774717,0.894735772895157
22,SNA8,22,3101152,2927074,0.943866666322708
23,SNA9,23,3101135,2941320,0.948465642418018
24,ZAB1,24,3102752,3096416,0.99795794185291
25,ZAB1,25,3102752,3096416,0.99795794185291
26,ZAB2,26,3102763,3097245,0.998221585084004
27,ZAB2,27,3102763,3097245,0.998221585084004
28,ZAB3,28,3102769,3099315,0.998886800789875
29,ZAB3,29,3102769,3099315,0.998886800789875
30,ZAB4,30,3102811,3099836,0.999041192002993
31,ZAB4,31,3102811,3099836,0.999041192002993
32,ZAB5,32,3102769,3096769,0.998066243410322
33,ZAB6,33,3102742,3097355,0.998263793766933
34,ZAB7,34,3102768,3099404,0.998915806789293
35,ZAB7,35,3102768,3099404,0.998915806789293
36,ZAB8,36,3102742,3096742,0.99806622658281
37,ZAB8,37,3102742,3096742,0.99806622658281
38,ZAB9,38,3102729,3098567,0.998658600219355
39,ZAB9,39,3102729,3098567,0.998658600219355
40,ZAB10,40,3102688,3095602,0.997716173846677
41,ZAB10,41,3102688,3095602,0.997716173846677
42,ZAB11,42,3102679,3095898,0.997814469366634
43,ZAB11,43,3102679,3095898,0.997814469366634
44,ZAB12,44,3102728,3096731,0.998067184748389
45,ZAB12,45,3102728,3096731,0.998067184748389
46,ZAB13,46,3102733,3097365,0.998269912364357
47,ZAB13,47,3102733,3097365,0.998269912364357
48,ZAB14,48,3102669,3093841,0.997154707769343
49,ZAB15,49,3102666,3093838,0.9971547050182
50,ZAB15,50,3102666,3093838,0.9971547050182
51,ZAB16,51,3102663,3093838,0.99715566917838
52,ZAB16,52,3102663,3093838,0.99715566917838
53,ZAB17,53,3102706,3096781,0.998090376593851
54,ZAB17,54,3102706,3096781,0.998090376593851
55,ZAB18,55,3102635,3094084,0.997243955541016
56,ZAB18,56,3102635,3094084,0.997243955541016
57,ZAB19,57,3102631,3093745,0.997135979109343
58,ZAB20,58,3102684,3093290,0.996972298822568
59,ZAB21,59,3102653,3097111,0.998213786717367
60,ZAB21,60,3102653,3097111,0.998213786717367
61,ZAB22,61,3102663,3099225,0.998891919618727
62,ZAB22,62,3102663,3099225,0.998891919618727
63,ZAB23,63,3102637,3093864,0.997172405279767
64,ZAB24,64,3102647,3093884,0.997175637447637
65,ZAB24,65,3102647,3093884,0.997175637447637
66,ZAB25,66,3102658,3094148,0.997257190447674
67,ZAB26,67,3102600,3094385,0.997352220718107
68,ZAB26,68,3102600,3094385,0.997352220718107
69,ZAB27,69,3102572,3095556,0.997738650384262
70,ZAB27,70,3102572,3095556,0.997738650384262
71,ZAB28,71,3102590,3096097,0.99790723234459
72,ZAB29,72,3102608,3096555,0.998049060661224
73,ZAB29,73,3102608,3096555,0.998049060661224
74,ZAB30,74,3102624,3096571,0.998049070722073
75,ZAB30,75,3102624,3096571,0.998049070722073
76,SGE1,76,3097611,2987078,0.964316694381573
77,SGE10,77,3097334,3031634,0.97878820947305
78,SGE11,78,3097486,2977052,0.96111879117452
79,SGE12,79,3097361,3021097,0.975377748993417
80,SGE13,80,3097301,3023620,0.976211223901067
81,SGE14,81,3097281,3032687,0.979144933895246
82,SGE15,82,3097338,3024328,0.976428145717387
83,SGE16,83,3097274,3028598,0.977826953637295
84,SGE17,84,3097154,3035971,0.980245412401192
85,SGE18,85,3097285,3031458,0.978746870242809
86,SGE19,86,3097165,3037310,0.980674261784568
87,SGE2,87,3097527,2992717,0.96616332964975
88,SGE20,88,3097113,3043490,0.982686133828504
89,SGE21,89,3097069,3049360,0.984595435232473
90,SGE22,90,3097194,3045379,0.983270340831088
91,SGE23,91,3097149,3046181,0.983543575075013
92,SGE24,92,3097160,3050288,0.984866135427295
93,SGE25,93,3097019,3048514,0.984338165184004
94,SGE26,94,3096953,3056156,0.986826729369157
95,SGE27,95,3097116,3049299,0.984560797851937
96,SGE28,96,3097044,3053304,0.985876855478966
97,SGE29,97,3097109,3043781,0.982781361585918
98,SGE3,98,3097402,3024362,0.976418947233843
99,SGE30,99,3097016,3029111,0.97807405580081
100,SGE4,100,3097455,2999748,0.968455716063672
101,SGE5,101,3097527,3021683,0.975514660566316
102,SGE6,102,3097463,3022862,0.975915450806031
103,SGE7,103,3097418,2989529,0.965168085159962
104,SGE8,104,3097462,3029295,0.97799262751246
105,SGE9,105,3097383,3030749,0.978487000154647
106,SKP1,106,3101634,3075784,0.991665683314021
107,SKP10,107,3101575,3085605,0.994851003119383
108,SKP11,108,3101523,3016479,0.972579922831461
109,SKP12,109,3101495,3029929,0.976925321498181
110,SKP13,110,3101497,3053237,0.98443977214874
111,SKP14,111,3101460,3011494,0.970992371334791
112,SKP15,112,3101578,3092614,0.997109858272144
113,SKP16,113,3101404,3004383,0.968717071365098
114,SKP17,114,3101443,3013556,0.971662545466739
115,SKP18,115,3101473,3038498,0.979695131958266
116,SKP19,116,3101375,2978850,0.960493329571561
117,SKP2,117,3101570,3051432,0.983834638586264
118,SKP20,118,3101269,2871633,0.925954181981634
119,SKP21,119,3101256,2854406,0.920403217277129
120,SKP22,120,3101293,2891156,0.932242132555679
121,SKP23,121,3101213,2868804,0.925058678652514
122,SKP24,122,3101313,2926293,0.943565838082128
123,SKP25,123,3101261,2918261,0.940991744970836
124,SKP26,124,3101388,2956868,0.953401509259725
125,SKP27,125,3101414,3041820,0.980784893600145
126,SKP28,126,3101578,3076432,0.991892514068645
127,SKP29,127,3101591,3071903,0.990428138332875
128,SKP3,128,3101636,3070038,0.989812473159326
129,SKP30,129,3101678,3061226,0.98695802723558
130,SKP31,130,3101221,2768617,0.892750629510119
131,SKP32,131,3101099,2651779,0.85510943055994
132,SKP33,132,3101085,2577514,0.831165221204836
133,SKP34,133,3101174,2725930,0.878999372495706
134,SKP35,134,3101271,2905665,0.936927150191002
135,SKP36,135,3101188,2919101,0.94128475926
136,SKP37,136,3101175,2809596,0.905977895475102
137,SKP4,137,3101662,3086971,0.995263507113283
138,SKP5,138,3101631,3082718,0.993902240466387
139,SKP6,139,3101530,3033146,0.977951527149504
140,SKP7,140,3101580,3045477,0.981911477376047
141,SKP8,141,3101593,3068032,0.989179431343829
142,SKP9,142,3101585,3081681,0.993582635974832
