fid,cameras$St,cameraNum,_count,_sum,_mean
1,SNA1,1,27910286,2247655,0.0805314212831785
2,SNA10,2,27910032,2422390,0.0867928062569043
3,SNA11,3,27909799,2522188,0.0903692642143356
4,SNA12,4,27909545,2599174,0.0931284977952883
5,SNA13,5,27909214,2692122,0.0964599719648142
6,SNA14,6,27908699,2832187,0.101480438052666
7,SNA15,7,27908979,2677365,0.0959320296167051
8,SNA16,8,27908433,2847026,0.102013108367639
9,SNA17,9,27908603,2858006,0.102405914047364
10,SNA18,10,27908177,2975562,0.106619719374719
11,SNA19,11,27907898,3004943,0.107673569682675
12,SNA2,12,27909865,2322446,0.0832123695331382
13,SNA20,13,27907442,3185207,0.114134681351304
14,SNA21,14,27907671,3129374,0.112133112075171
15,SNA22,15,27908783,2836468,0.10163352518811
16,SNA23,16,27909242,2743385,0.098296650263737
17,SNA3,17,27909557,2369088,0.0848844716524881
18,SNA4,18,27910616,2200110,0.0788269954342821
19,SNA5,19,27909421,2488932,0.089178919190047
20,SNA6,20,27909015,2601622,0.0932179799251246
21,SNA7,21,27909792,2406129,0.0862109255418313
22,SNA8,22,27910101,2347915,0.0841242029185061
23,SNA9,23,27910418,2292422,0.082134993463731
24,ZAB1,24,27924532,3058,0.000109509444956857
25,ZAB1,25,27924532,3058,0.000109509444956857
26,ZAB2,26,27924689,2855,0.000102239276505461
27,ZAB2,27,27924689,2855,0.000102239276505461
28,ZAB3,28,27924817,2722,9.74760192698846e-05
29,ZAB3,29,27924817,2722,9.74760192698846e-05
30,ZAB4,30,27924871,2333,8.35455963252256e-05
31,ZAB4,31,27924871,2333,8.35455963252256e-05
32,ZAB5,32,27924480,3114,0.000111515057755776
33,ZAB6,33,27924600,2595,9.29288154530414e-05
34,ZAB7,34,27924703,2393,8.56947341570652e-05
35,ZAB7,35,27924703,2393,8.56947341570652e-05
36,ZAB8,36,27924423,3235,0.000115848409831064
37,ZAB8,37,27924423,3235,0.000115848409831064
38,ZAB9,38,27924514,2685,9.61520762724823e-05
39,ZAB9,39,27924514,2685,9.61520762724823e-05
40,ZAB10,40,27924330,3073,0.000110047403106896
41,ZAB10,41,27924330,3073,0.000110047403106896
42,ZAB11,42,27924298,3267,0.000116994883810508
43,ZAB11,43,27924298,3267,0.000116994883810508
44,ZAB12,44,27924227,3270,0.000117102614872741
45,ZAB12,45,27924227,3270,0.000117102614872741
46,ZAB13,46,27924306,3267,0.000116994850292788
47,ZAB13,47,27924306,3267,0.000116994850292788
48,ZAB14,48,27924087,3160,0.000113163950534891
49,ZAB15,49,27924050,3160,0.000113164100479694
50,ZAB15,50,27924050,3160,0.000113164100479694
51,ZAB16,51,27924104,3354,0.000120111284501734
52,ZAB16,52,27924104,3354,0.000120111284501734
53,ZAB17,53,27924090,3353,0.00012007553334773
54,ZAB17,54,27924090,3353,0.00012007553334773
