fid,cameras$St,cameraNum,_count,_sum,_mean
1,SNA1,1,49618145,3350382,0.0675233223652355
2,SNA10,2,49617754,3555556,0.0716589469164606
3,SNA11,3,49617367,3692683,0.0744231954105908
4,SNA12,4,49616813,3811506,0.0768188396139027
5,SNA13,5,49616206,3973299,0.0800806696102479
6,SNA14,6,49615321,4189154,0.0844326694973917
7,SNA15,7,49615824,3965966,0.0799334905734912
8,SNA16,8,49614871,4246873,0.0855967760149976
9,SNA17,9,49615265,4255786,0.0857757385756178
10,SNA18,10,49614457,4469734,0.0900893463370969
11,SNA19,11,49613987,4555728,0.0918234609929656
12,SNA2,12,49617460,3496917,0.0704775496367609
13,SNA20,13,49613100,4850821,0.097772987376318
14,SNA21,14,49613547,4799351,0.0967346882092506
15,SNA22,15,49615528,4209449,0.084841362566977
16,SNA23,16,49616295,4008876,0.0807975686213572
17,SNA3,17,49616905,3557436,0.0716980633919024
18,SNA4,18,49618728,3256292,0.065626269178041
19,SNA5,19,49616618,3713033,0.0748344637274552
20,SNA6,20,49615915,3873743,0.0780746056985949
21,SNA7,21,49617271,3604110,0.072638215027989
22,SNA8,22,49617884,3463318,0.0697997923490651
23,SNA9,23,49618437,3403464,0.0685927289487172
24,ZAB1,24,49643536,38348,0.000772467134492595
25,ZAB1,25,49643536,38348,0.000772467134492595
26,ZAB2,26,49643798,99303,0.00200031029052209
27,ZAB2,27,49643798,99303,0.00200031029052209
28,ZAB3,28,49644015,105474,0.00212460656133474
29,ZAB3,29,49644015,105474,0.00212460656133474
30,ZAB4,30,49644140,119927,0.00241573325673483
31,ZAB4,31,49644140,119927,0.00241573325673483
32,ZAB5,32,49643440,95770,0.00192915720586648
33,ZAB6,33,49643628,110825,0.0022324113781531
34,ZAB7,34,49643779,125212,0.00252220927822598
35,ZAB7,35,49643779,125212,0.00252220927822598
36,ZAB8,36,49643356,119340,0.00240394706594776
37,ZAB8,37,49643356,119340,0.00240394706594776
38,ZAB9,38,49643472,148249,0.0029862738045397
39,ZAB9,39,49643472,148249,0.0029862738045397
40,ZAB10,40,49643119,41976,0.000845555252078339
41,ZAB10,41,49643119,41976,0.000845555252078339
42,ZAB11,42,49643058,99530,0.00200491275134582
43,ZAB11,43,49643058,99530,0.00200491275134582
44,ZAB12,44,49642983,117237,0.00236160264583617
45,ZAB12,45,49642983,117237,0.00236160264583617
46,ZAB13,46,49643111,154347,0.00310913230236518
47,ZAB13,47,49643111,154347,0.00310913230236518
48,ZAB14,48,49642699,28761,0.000579360118997559
49,ZAB15,49,49642651,55375,0.00111547225791789
50,ZAB15,50,49642651,55375,0.00111547225791789
51,ZAB16,51,49642664,97625,0.00196655441375991
52,ZAB16,52,49642664,97625,0.00196655441375991
53,ZAB17,53,49642714,136104,0.00274167121483326
54,ZAB17,54,49642714,136104,0.00274167121483326
55,ZAB18,55,49642326,120406,0.00242547055510654
56,ZAB18,56,49642326,120406,0.00242547055510654
57,ZAB19,57,49642290,67179,0.00135326150344797
58,ZAB20,58,49642332,31173,0.000627951966478932
59,ZAB21,59,49642186,162491,0.00327324425237841
60,ZAB21,60,49642186,162491,0.00327324425237841
61,ZAB22,61,49642599,172224,0.00346927847190273
62,ZAB22,62,49642599,172224,0.00346927847190273
63,ZAB23,63,49641854,36617,0.000737623538395645
64,ZAB24,64,49641548,20801,0.000419023999815638
65,ZAB24,65,49641548,20801,0.000419023999815638
66,ZAB25,66,49641724,37678,0.000758998619790078
67,ZAB26,67,49641861,107908,0.00217372994940701
68,ZAB26,68,49641861,107908,0.00217372994940701
69,ZAB27,69,49641061,22819,0.000459679941168058
70,ZAB27,70,49641061,22819,0.000459679941168058
71,ZAB28,71,49641275,35424,0.000713599721199748
72,ZAB29,72,49641409,109060,0.00219695617422946
73,ZAB29,73,49641409,109060,0.00219695617422946
74,ZAB30,74,49641724,166037,0.00334470656176244
75,ZAB30,75,49641724,166037,0.00334470656176244
76,SGE1,76,49561400,512618,0.0103430895818117
77,SGE10,77,49556823,404903,0.00817047937072157
78,SGE11,78,49559599,474287,0.00957003304243846
79,SGE12,79,49557868,428429,0.00864502484247305
80,SGE13,80,49556674,399044,0.0080522756632134
81,SGE14,81,49555702,377085,0.00760931607829912
82,SGE15,82,49557063,412404,0.00832180066845366
83,SGE16,83,49555918,384977,0.0077685373520878
84,SGE17,84,49554478,348422,0.00703109010652882
85,SGE18,85,49556251,404579,0.00816403565314091
86,SGE19,86,49554889,354646,0.00715662989377294
87,SGE2,87,49560288,488853,0.00986380466554189
88,SGE20,88,49554092,348254,0.00702775464032314
89,SGE21,89,49552755,394158,0.00795431051209968
90,SGE22,90,49554667,388005,0.00782983770226929
91,SGE23,91,49553781,367484,0.00741586197025006
92,SGE24,92,49553943,491793,0.00992439693446796
93,SGE25,93,49552686,514958,0.0103921309129439
94,SGE26,94,49551537,503459,0.0101603104662525
95,SGE27,95,49553622,560012,0.0113011315298002
96,SGE28,96,49552268,596155,0.0120308317673774
97,SGE29,97,49552963,716554,0.0144603663760732
98,SGE3,98,49558198,433647,0.00875025762639715
99,SGE30,99,49551528,806208,0.0162700936285961
100,SGE4,100,49559188,469429,0.00947208820289792
101,SGE5,101,49560217,488893,0.00986462589540316
102,SGE6,102,49559127,468544,0.0094542424042296
103,SGE7,103,49558535,437765,0.00883329178314089
104,SGE8,104,49558972,462196,0.00932618214921811
105,SGE9,105,49557848,426217,0.00860039362484021
106,SKP1,106,49626242,1450679,0.0292320945841517
107,SKP10,107,49625327,1420236,0.0286191766555009
108,SKP11,108,49623849,1907208,0.0384332944427588
109,SKP12,109,49624035,1825148,0.0367795162162851
110,SKP13,110,49624292,1723296,0.0347268632064312
111,SKP14,111,49623224,1989873,0.0400996315757316
112,SKP15,112,49624553,1523165,0.0306937777353884
113,SKP16,113,49622354,2125537,0.0428342637674948
114,SKP17,114,49622559,2029236,0.0408934170444535
115,SKP18,115,49623088,1884971,0.0379857658193299
116,SKP19,116,49621553,2285471,0.0460580304691391
117,SKP2,117,49625332,1634251,0.0329317897560867
118,SKP20,118,49620523,2488342,0.0501474359712009
119,SKP21,119,49619919,2496487,0.0503121941815342
120,SKP22,120,49620659,2328379,0.0469235807609891
