fid,cameras$St,cameraNum,_count,_sum,_mean
1,SNA1,1,77528120,5039126,0.0649973970734748
2,SNA10,2,77527507,5423040,0.0699498824333407
3,SNA11,3,77526954,5635547,0.0726914538651938
4,SNA12,4,77526033,5789472,0.0746777795272976
5,SNA13,5,77525041,5972069,0.0770340643870153
6,SNA14,6,77523679,6165233,0.0795270951988747
7,SNA15,7,77524533,5830922,0.075213893903753
8,SNA16,8,77523025,6188450,0.0798272513230747
9,SNA17,9,77523686,6289998,0.0811364671179335
10,SNA18,10,77522384,6499636,0.0838420552185289
11,SNA19,11,77521632,6557671,0.0845914982801188
12,SNA2,12,77527014,5195163,0.067011003416177
13,SNA20,13,77520266,6755929,0.0871504878479132
14,SNA21,14,77520935,6808718,0.0878307001844083
15,SNA22,15,77524039,6282914,0.0810447195611158
16,SNA23,16,77525216,6108984,0.0787999610346136
17,SNA3,17,77526152,5292116,0.0682623329479838
18,SNA4,18,77529028,4929157,0.0635782122794059
19,SNA5,19,77525761,5500898,0.0709557433431708
20,SNA6,20,77524689,5665154,0.073075481799095
21,SNA7,21,77526707,5445840,0.0702446964502181
22,SNA8,22,77527712,5261700,0.0678686351533243
23,SNA9,23,77528636,5101841,0.0658058913870225
24,ZAB1,24,77567808,227174,0.00292871496381592
25,ZAB1,25,77567808,227174,0.00292871496381592
26,ZAB2,26,77568174,260217,0.00335468770993629
27,ZAB2,27,77568174,260217,0.00335468770993629
28,ZAB3,28,77568576,273658,0.00352794925615239
29,ZAB3,29,77568576,273658,0.00352794925615239
30,ZAB4,30,77568739,297282,0.00383249752197209
31,ZAB4,31,77568739,297282,0.00383249752197209
32,ZAB5,32,77567634,264489,0.00340978558144496
33,ZAB6,33,77567990,285936,0.00368626285146747
34,ZAB7,34,77568197,313393,0.00404022540320229
35,ZAB7,35,77568197,313393,0.00404022540320229
36,ZAB8,36,77567484,314533,0.00405495942088311
37,ZAB8,37,77567484,314533,0.00405495942088311
38,ZAB9,38,77567690,341924,0.00440807248481939
39,ZAB9,39,77567690,341924,0.00440807248481939
