"","Station","CameraName","Species","DateTimeOriginal","Media.Filename","CommunityName"
"39","SGE10","SGE10","Dasyprocta fuliginosa","2022-09-24 09:25:00","9a2a6ebb-560c-4b7e-bf3c-0b57e35db55d","Sinangoe"
"40","SGE10","SGE10","Dasyprocta fuliginosa","2022-10-17 11:53:00","d8bb7996-6e0d-4b9e-ab01-16e588e5c52d","Sinangoe"
"41","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-05 08:13:00","84b00b24-2bd6-4e2a-a87a-e2f745c2a3b4","Sinangoe"
"42","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-05 13:26:00","af2a50e1-be6c-4e23-8edc-8ea2bed8bdce","Sinangoe"
"43","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-07 14:39:00","e44a7758-0e7e-4c4a-8072-c7a6c376f1b0","Sinangoe"
"44","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-08 14:32:00","27ece9b5-1b00-4373-aebe-7df6e9821add","Sinangoe"
"45","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-11 17:12:00","a03c18ac-4573-4ffa-aa71-fd93c31be252","Sinangoe"
"46","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-14 14:28:00","a13f159a-3eb4-45a5-9aea-127c26fd8a7d","Sinangoe"
"47","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-19 16:44:00","050cace0-a16e-4027-8d93-f876fcb405e5","Sinangoe"
"48","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-22 08:09:00","1dd794b6-3511-4e73-9977-4aa3e162bc4c","Sinangoe"
"49","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-25 11:53:00","3b5de031-0b35-43d2-a9ab-c4453f15bb2e","Sinangoe"
"50","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-25 12:32:00","6c6b4e52-3b37-4b76-bc38-c7641ec6148e","Sinangoe"
"51","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-25 17:20:00","bd9b486b-1831-4b15-93c4-d97e173b1af9","Sinangoe"
"52","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-27 08:12:00","a4852d28-c2af-40bd-b08d-93665c5ab02c","Sinangoe"
"53","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-27 11:48:00","898e1080-ac95-403c-a66e-81e26454dcad","Sinangoe"
"54","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-28 06:35:00","86a4835e-039e-4591-ac0e-9c09d3c1f980","Sinangoe"
"55","SGE10","SGE10","Dasyprocta fuliginosa","2022-11-30 08:43:00","0d20268b-4336-457d-960e-f47ceaeb001b","Sinangoe"
"56","SGE10","SGE10","Dasypus novemcinctus","2022-08-13 19:36:00","4f43b811-8739-4626-a35f-1598529f6e8e","Sinangoe"
"57","SGE10","SGE10","Dasypus novemcinctus","2022-08-20 00:25:00","cd1f17f5-0181-409d-a964-811804dbe3c7","Sinangoe"
"58","SGE10","SGE10","Dasypus novemcinctus","2022-10-28 22:31:00","35c3ffd2-6895-43dc-9d35-892fc3acce39","Sinangoe"
"59","SGE10","SGE10","Dasypus novemcinctus","2022-11-20 23:16:00","b1a0bf58-af5f-4161-bce5-754a4347585d","Sinangoe"
"60","SGE10","SGE10","Didelphis marsupialis","2022-08-10 20:21:00","b75a18e6-9325-4876-b93c-7414dcaefe21","Sinangoe"
"61","SGE10","SGE10","Didelphis marsupialis","2022-08-11 20:08:00","e4fbbb2f-992a-4e16-9604-726ca9d623e7","Sinangoe"
"62","SGE10","SGE10","Didelphis marsupialis","2022-08-15 19:08:00","390ef1f0-4835-44ae-8b99-c2fe81852bfe","Sinangoe"
"63","SGE10","SGE10","Didelphis marsupialis","2022-08-16 23:40:00","4e32ff66-2b90-4f66-8da5-3455ded548ef","Sinangoe"
"64","SGE10","SGE10","Didelphis marsupialis","2022-08-17 19:03:00","dca74d01-96b9-4a0e-bdfc-25b1cdfb6b3a","Sinangoe"
"65","SGE10","SGE10","Didelphis marsupialis","2022-09-29 18:35:00","51fdc53f-937e-4a23-ba05-d607364c0aff","Sinangoe"
"66","SGE10","SGE10","Didelphis marsupialis","2022-10-08 23:29:00","08a6eafe-bd6c-4007-a605-bda7e31cf2a5","Sinangoe"
"67","SGE10","SGE10","Didelphis marsupialis","2022-10-20 20:31:00","94a6ffb9-2320-4337-aee3-0942b2cfc997","Sinangoe"
"68","SGE10","SGE10","Didelphis marsupialis","2022-10-29 20:45:00","699f81e0-c40a-4431-a61c-0e60a18c6b22","Sinangoe"
"69","SGE10","SGE10","Didelphis marsupialis","2022-11-07 22:42:00","4842f611-9e60-40ee-b744-b93be975147a","Sinangoe"
"70","SGE10","SGE10","Didelphis marsupialis","2022-11-11 06:08:00","a595430e-ac62-4f58-8e76-9b07a7fe523f","Sinangoe"
"71","SGE10","SGE10","Eira barbara","2022-11-16 13:07:00","9fbd1f0a-046b-4f1c-a014-6bb1e4edebdf","Sinangoe"
"72","SGE10","SGE10","Geotrygon montana","2022-09-22 07:11:00","47bfe61c-2467-4590-84df-968131862c8e","Sinangoe"
"73","SGE10","SGE10","Geotrygon montana","2022-09-24 11:19:00","e089fe91-f813-4ef5-b840-c61759d2566a","Sinangoe"
"74","SGE10","SGE10","Geotrygon montana","2022-10-01 15:07:00","ecfb7a80-e3eb-4922-95dc-fcf6b4685ffc","Sinangoe"
"75","SGE10","SGE10","Geotrygon montana","2022-10-07 09:48:00","7eb272ca-0bb6-4f73-b551-ba93f88956b9","Sinangoe"
"76","SGE10","SGE10","Geotrygon montana","2022-10-08 10:05:00","54acbb07-c57f-4810-9017-8afcad61b101","Sinangoe"
"77","SGE10","SGE10","Geotrygon montana","2022-10-10 06:32:00","f7d7894e-8ab6-4c64-8831-02bba80e1b61","Sinangoe"
"78","SGE10","SGE10","Geotrygon montana","2022-10-10 11:34:00","712b1b66-0602-418e-b9ed-227d8d9aac8b","Sinangoe"
"79","SGE10","SGE10","Geotrygon montana","2022-10-11 06:12:00","bb63fe3c-c70c-471b-a358-46aa90042698","Sinangoe"
"80","SGE10","SGE10","Geotrygon montana","2022-10-11 06:47:00","b2685e83-4c89-4a8d-b0f6-43f20f69ad2b","Sinangoe"
"81","SGE10","SGE10","Geotrygon montana","2022-10-18 06:40:00","392f3414-b0d5-445c-b4da-0fb7e089194c","Sinangoe"
"82","SGE10","SGE10","Geotrygon montana","2022-10-20 08:53:00","a851815a-8a6c-4c34-a77f-29357ba20b60","Sinangoe"
"83","SGE10","SGE10","Geotrygon montana","2022-10-20 11:06:00","65af9624-e5cc-4452-9fdc-25c0ab6a3fb3","Sinangoe"
"84","SGE10","SGE10","Geotrygon montana","2022-10-26 14:48:00","d04c01d8-f308-42bd-a8b8-071fec665cb3","Sinangoe"
"85","SGE10","SGE10","Geotrygon montana","2022-10-28 06:23:00","ac823b1a-8206-49b8-82d5-f6fe0e5347b4","Sinangoe"
"86","SGE10","SGE10","Geotrygon montana","2022-10-30 08:19:00","847f9d90-5f7d-4db4-bd85-903cfd108ffb","Sinangoe"
"87","SGE10","SGE10","Geotrygon montana","2022-11-01 07:35:00","ad671973-906d-452d-836b-b2dbab4fcea3","Sinangoe"
"88","SGE10","SGE10","Geotrygon montana","2022-11-03 07:04:00","bc60c3a7-8d76-4caf-b6d6-2b0be0edeb31","Sinangoe"
"89","SGE10","SGE10","Geotrygon montana","2022-11-18 15:13:00","4050af15-bdab-4efa-b289-a9b30ae2c5d0","Sinangoe"
"90","SGE10","SGE10","Geotrygon montana","2022-11-19 08:44:00","86413ffa-c5e8-4993-9b67-73fe5f15016d","Sinangoe"
"91","SGE10","SGE10","Leopardus pardalis","2022-09-01 20:24:00","f8fac79e-ccc3-44ff-bb8b-977ec5d37dca","Sinangoe"
"92","SGE10","SGE10","Leopardus pardalis","2022-10-28 13:11:00","2da61963-9608-4c02-9f53-33b468c4a624","Sinangoe"
"93","SGE10","SGE10","Mazama americana","2022-10-21 18:01:00","6901aa3c-a41f-4785-be9f-b487ddbb3ec2","Sinangoe"
"94","SGE10","SGE10","Metachirus nudicaudatus","2022-08-07 02:32:00","b1cc3fac-a322-4f16-bd12-0f5f3ad6f463","Sinangoe"
"95","SGE10","SGE10","Metachirus nudicaudatus","2022-08-14 19:16:00","2459dbd6-5ba5-4339-9690-605bd290f4fb","Sinangoe"
"96","SGE10","SGE10","Metachirus nudicaudatus","2022-08-15 21:41:00","70754513-9063-43bf-b170-b77a3675ce9e","Sinangoe"
"97","SGE10","SGE10","Metachirus nudicaudatus","2022-08-20 23:09:00","033a2495-28ba-479f-a7b1-7271d4cdb4bf","Sinangoe"
