Date,Group,Species,Count,x,y
5/30/18,Primate,Woolly Monkey,1,-75.62029997,-0.370897231
5/30/18,Cracid,Spix's Guan,1,-75.62029997,-0.370897231
5/28/18,Rodent,Lowland Paca,1,-75.69254009,-0.371366439
5/28/18,Armadillo,Nine-banded Armadillo,1,-75.69254009,-0.371366439
5/24/18,Ungulates,White-lipped Peccary,1,-75.69254009,-0.373712476
5/2/18,Rodent,Lowland Paca,2,-75.69910737,-0.329137765
5/3/18,Ungulates,White-lipped Peccary,2,-75.69394736,-0.376996929
5/3/18,Cracid,Spix's Guan,2,-75.69394736,-0.376996929
5/4/18,Armadillo,Nine-banded Armadillo,2,-75.6864419,-0.378873759
5/15/18,Ungulates,White-lipped Peccary,1,-75.74414017,-0.384973456
4/12/18,Rodent,Lowland Paca,3,-75.82341667,-0.382627418
4/10/18,Ungulates,White-lipped Peccary,2,-75.73851107,-0.354005762
6/23/18,Ungulates,White-lipped Peccary,2,-75.78542024,-0.289255129
6/18/18,Primate,Howler Monkey,1,-75.75258383,-0.290193544
6/21/18,Primate,Howler Monkey,1,-75.76102748,-0.306146599
6/19/18,Rodent,Black Agouti,1,-75.75680565,-0.305208184
6/27/18,Ungulates,White-lipped Peccary,1,-75.64891456,-0.34884448
6/20/18,Mammal,Coati,1,-75.66674005,-0.370428024
6/18/18,Armadillo,Nine-banded Armadillo,2,-75.71787104,-0.331014595
6/18/18,Rodent,Black Agouti,3,-75.71787104,-0.331014595
6/8/18,Ungulates,White-lipped Peccary,1,-75.77556932,-0.307085014
6/4/18,Cracid,Piping Guan,2,-75.66533277,-0.3375835
6/11/18,Ungulates,White-lipped Peccary,1,-75.79667844,-0.332422218
6/2/18,Primate,Woolly Monkey,1,-75.70004556,-0.322099653
6/25/18,Ungulates,White-lipped Peccary,1,-75.74883109,-0.331014595
6/10/18,Primate,Howler Monkey,1,-75.76008929,-0.298170071
6/24/18,Primate,Howler Monkey,1,-75.78166751,-0.288785922
6/18/18,Ungulates,White-lipped Peccary,4,-75.6612393,-0.358456422
6/19/18,Cracid,Spix's Guan,1,-75.7821366,-0.292070374
5/21/18,Primate,Woolly Monkey,1,-75.75680565,-0.302392939
6/15/18,Rodent,Black Agouti,1,-75.7596202,-0.35072131
6/25/18,Rodent,Black Agouti,2,-75.7708784,-0.313653918
6/5/18,Ungulates,Collared Peccary,1,-75.74226381,-0.331483803
6/4/18,Bird,Great Tinamou,2,-75.73898017,-0.35072131
6/7/18,Rodent,Lowland Paca,1,-75.75680565,-0.316938371
6/5/18,Cracid,Salvin's Currasow,1,-75.71646377,-0.301923731
6/5/18,Cracid,Spix's Guan,1,-75.71646377,-0.301923731
6/3/18,Ungulates,Grey Brocket Deer,1,-75.7652493,-0.298639279
6/14/18,Rodent,Black Agouti,1,-75.77416204,-0.313653918
6/13/18,Cracid,Salvin's Currasow,1,-75.72068559,-0.298639279
6/10/18,Cracid,Piping Guan,1,-75.73991835,-0.3375835
6/6/18,Ungulates,White-lipped Peccary,2,-75.80211303,-0.323553928
6/6/18,Cracid,Spix's Guan,2,-75.80011481,-0.310656365
6/18/18,Rodent,Black Agouti,1,-75.73991835,-0.301923731
6/16/18,Ungulates,White-lipped Peccary,1,-75.78026023,-0.303331354
6/20/18,Cracid,Spix's Guan,2,-75.7492608,-0.283836486
6/21/18,Bird,Great Tinamou,1,-75.7539911,-0.317407578
6/23/18,Ungulates,White-lipped Peccary,2,-75.77838387,-0.297700864
6/7/18,Cracid,Spix's Guan,1,-75.70661284,-0.351659724
6/23/18,Bird,Great Tinamou,1,-75.71552558,-0.357290214
6/10/18,Ungulates,White-lipped Peccary,3,-75.78870389,-0.321630446
5/29/18,Ungulates,White-lipped Peccary,2,-75.73053652,-0.34884448
6/8/18,Primate,Howler Monkey,2,-75.76223352,-0.497698723
6/8/18,Primate,Squirrel Monkey,2,-75.76394892,-0.500271825
6/19/18,Primate,Howler Monkey,2,-75.60012903,-0.517759173
6/19/18,Primate,Woolly Monkey,1,-75.60012903,-0.517759173
6/17/18,Bird,Great Tinamou,1,-75.58980901,-0.484445442
7/6/18,Ungulates,Collared Peccary,1,-75.64516183,-0.344152405
7/6/18,Cracid,Spix's Guan,2,-75.64516183,-0.344152405
6/27/18,Ungulates,White-lipped Peccary,1,-75.64891456,-0.362451497
6/23/18,Mammal,Coati,2,-75.66533277,-0.365266741
6/26/18,Bird,Toucan,2,-75.65360548,-0.3375835
6/17/18,Bird,Undulated Tinamou,1,-75.64985274,-0.392949983
6/20/18,Primate,Night Monkey,1,-75.64797638,-0.394826813
6/7/18,Armadillo,Nine-banded Armadillo,2,-75.66627095,-0.383096626
6/7/18,Rodent,Black Agouti,1,-75.66627095,-0.383096626
6/14/18,Mammal,Coati,1,-75.65079093,-0.361043874
6/6/18,Primate,Collared Titi,2,-75.65172911,-0.365735949
7/13/18,Ungulates,Collared Peccary,1,-75.72772197,-0.320222823
7/15/18,Cracid,Salvin's Currasow,1,-75.77791478,-0.292539582
7/11/18,Bird,Grey-winged Trumpeter,1,-75.79620935,-0.310369466
6/25/18,Ungulates,White-lipped Peccary,1,-75.73489432,-0.295629867
6/25/18,Bird,Grey-winged Trumpeter,3,-75.73053652,-0.296762449
6/29/18,Cracid,Spix's Guan,1,-75.74367108,-0.307554221
6/29/18,Bird,Toucan,1,-75.74367108,-0.307554221
6/30/18,Primate,Howler Monkey,1,-75.72912924,-0.317407578
6/25/18,Ungulates,White-lipped Peccary,1,-75.81122029,-0.388727116
6/27/18,Cracid,Spix's Guan,1,-75.69582373,-0.362451497
7/6/18,Ungulates,White-lipped Peccary,1,-75.70567466,-0.353536554
7/4/18,Armadillo,Nine-banded Armadillo,2,-75.70004556,-0.365735949
7/2/18,Ungulates,White-lipped Peccary,1,-75.71599467,-0.369489609
7/10/18,Bird,Dove,5,-75.70567466,-0.352128932
6/15/18,Ungulates,Lowland Tapir,1,-75.77744568,-0.32632252
6/15/18,Mammal,Kinkajou,1,-75.77744568,-0.32632252
6/14/18,Bird,Great Tinamou,2,-75.7089583,-0.361043874
6/14/18,Rodent,Black Agouti,2,-75.7089583,-0.361043874
6/14/18,Rodent,Lowland Paca,2,-75.7089583,-0.361043874
7/2/18,Bird,Dove,6,-75.70989648,-0.354944177
6/28/18,Mammal,Kinkajou,2,-75.77181658,-0.331483803
6/28/18,Rodent,Lowland Paca,2,-75.77181658,-0.331483803
6/12/18,Reptile,Tortoise,2,-75.7033292,-0.370897231
6/6/18,Rodent,Lowland Paca,2,-75.71177285,-0.372774061
6/6/18,Armadillo,Nine-banded Armadillo,1,-75.71177285,-0.372774061
7/2/18,Ungulates,White-lipped Peccary,1,-75.69629282,-0.361982289
7/9/18,Ungulates,White-lipped Peccary,1,-75.76806385,-0.314123126
7/4/18,Cracid,Spix's Guan,1,-75.75727474,-0.35072131
6/29/18,Cracid,Spix's Guan,1,-75.73898017,-0.35072131
7/1/18,Rodent,Black Agouti,1,-75.71927832,-0.349313687
7/1/18,Cracid,Spix's Guan,1,-75.67330733,-0.354474969
7/2/18,Cracid,Salvin's Currasow,1,-75.68784917,-0.356351799
7/14/18,Cracid,Salvin's Currasow,1,-75.6639255,-0.338991122
7/17/18,Rodent,Lowland Paca,1,-75.69300918,-0.351190517
7/19/18,Bird,Undulated Tinamou,1,-75.68315826,-0.354005762
7/23/18,Cracid,Salvin's Currasow,1,-75.68128189,-0.346029235
7/23/18,Bird,Toucan,1,-75.68128189,-0.346029235
7/23/18,Mammal,Coati,2,-75.68128189,-0.346029235
7/24/18,Bird,Great Tinamou,1,-75.75352201,-0.376058514
7/24/18,Rodent,Black Agouti,1,-75.75352201,-0.376058514
7/24/18,Armadillo,Nine-banded Armadillo,1,-75.75352201,-0.376058514
7/28/18,Bird,Great Tinamou,1,-75.74179472,-0.378404551
7/28/18,Armadillo,Nine-banded Armadillo,1,-75.74179472,-0.378404551
7/4/18,Ungulates,Red Brocket Deer,1,-75.69582373,-0.343683197
7/8/18,Primate,Woolly Monkey,3,-75.79761663,-0.316469163
7/6/18,Primate,Howler Monkey,1,-75.71083466,-0.333360633
8/4/18,Rodent,Lowland Paca,1,-75.71787104,-0.34884448
8/7/18,Rodent,Lowland Paca,1,-75.7033292,-0.356821007
8/11/18,Mammal,Kinkajou,1,-75.68315826,-0.369958816
8/13/18,Bird,Great Tinamou,1,-75.692071,-0.368551194
8/15/18,Rodent,Lowland Paca,1,-75.70098374,-0.357759422
8/5/18,Cracid,Spix's Guan,1,-75.75211473,-0.348375272
8/5/18,Bird,Great Tinamou,1,-75.75211473,-0.348375272
8/14/18,Rodent,Lowland Paca,1,-75.69488555,-0.34884448
8/6/18,Rodent,Lowland Paca,1,-75.70520556,-0.355882592
8/8/18,Rodent,Lowland Paca,1,-75.72256196,-0.381689003
7/31/18,Bird,Great Tinamou,1,-75.73804198,-0.354944177
7/31/18,Bird,Toucan,1,-75.73804198,-0.354944177
8/1/18,Rodent,Lowland Paca,1,-75.67096187,-0.323976483
8/4/18,Primate,Howler Monkey,2,-75.86798038,-0.437055486
8/4/18,Primate,Woolly Monkey,1,-75.86798038,-0.437055486
8/9/18,Primate,Woolly Monkey,1,-75.67283824,-0.33946033
8/6/18,Cracid,Salvin's Currasow,2,-75.62928996,-0.351085559
8/5/18,Rodent,Lowland Paca,1,-75.68972554,-0.354944177
8/3/18,Primate,Woolly Monkey,2,-75.64985274,-0.350252102
8/2/18,Rodent,Black Agouti,1,-75.8252745,-0.432138248
8/2/18,Armadillo,Nine-banded Armadillo,1,-75.80254544,-0.430690879
8/1/18,Rodent,Lowland Paca,1,-75.74789291,-0.378873759
8/13/18,Rodent,Lowland Paca,2,-75.75727474,-0.372304854
8/2/18,Cracid,Spix's Guan,2,-75.66861641,-0.519636003
8/9/18,Rodent,Lowland Paca,2,-75.81262756,-0.379812173
8/12/18,Rodent,Lowland Paca,2,-75.66251822,-0.525735701
8/13/18,Rodent,Lowland Paca,2,-75.75352201,-0.379342966
