"","Station","CameraName","Species","DateTimeOriginal","Date","Time","CommunityName"
"54","ZAB3","ZAB3B","Cuniculus paca",2018-07-08 20:38:24,2018-07-08,"20:38:24","Zabalo"
"55","ZAB15","ZAB15B","Mazama gouazoubira",2018-07-08 22:31:32,2018-07-08,"22:31:32","Zabalo"
"56","ZAB8","ZAB8A","Cuniculus paca",2018-07-09 02:32:09,2018-07-09,"2:32:09","Zabalo"
"57","ZAB2","ZAB2B","Atelocynus microtis",2018-07-09 05:20:15,2018-07-09,"5:20:15","Zabalo"
"58","ZAB12","ZAB12A","Pecari tajacu",2018-07-09 06:32:51,2018-07-09,"6:32:51","Zabalo"
"59","ZAB18","ZAB18A","Psophia crepitans",2018-07-09 08:29:12,2018-07-09,"8:29:12","Zabalo"
"60","ZAB21","ZAB21B","Psophia crepitans",2018-07-09 11:04:53,2018-07-09,"11:04:53","Zabalo"
"61","ZAB7","ZAB7B","Tayassu pecari",2018-07-09 11:50:15,2018-07-09,"11:50:15","Zabalo"
"62","ZAB8","ZAB8A","Dasyprocta fuliginosa",2018-07-09 12:27:51,2018-07-09,"12:27:51","Zabalo"
"63","ZAB15","ZAB15B","Eira barbara",2018-07-09 13:02:30,2018-07-09,"13:02:30","Zabalo"
"64","ZAB7","ZAB7B","Mitu salvini",2018-07-09 13:34:30,2018-07-09,"13:34:30","Zabalo"
"65","ZAB11","ZAB11A","Atelocynus microtis",2018-07-09 15:13:05,2018-07-09,"15:13:05","Zabalo"
"66","ZAB16","ZAB16A","Psophia crepitans",2018-07-09 15:27:27,2018-07-09,"15:27:27","Zabalo"
"67","ZAB4","ZAB4A","Mitu salvini",2018-07-09 16:59:42,2018-07-09,"16:59:42","Zabalo"
"68","ZAB15","ZAB15A","Atelocynus microtis",2018-07-09 18:39:55,2018-07-09,"18:39:55","Zabalo"
"69","ZAB29","ZAB29B","Tapirus terrestris",2018-07-09 23:33:57,2018-07-09,"23:33:57","Zabalo"
"70","ZAB2","ZAB2B","Cuniculus paca",2018-07-10 00:00:03,2018-07-10,"0:00:03","Zabalo"
"71","ZAB29","ZAB29B","Tapirus terrestris",2018-07-10 02:40:09,2018-07-10,"2:40:09","Zabalo"
"72","ZAB4","ZAB4B","Crypturellus undulatus",2018-07-10 06:52:21,2018-07-10,"6:52:21","Zabalo"
"73","ZAB3","ZAB3A","Nothocrax urumutum",2018-07-10 07:10:53,2018-07-10,"7:10:53","Zabalo"
"74","ZAB18","ZAB18A","Panthera onca",2018-07-10 10:21:03,2018-07-10,"10:21:03","Zabalo"
"75","ZAB22","ZAB22A","Dasyprocta fuliginosa",2018-07-10 10:54:48,2018-07-10,"10:54:48","Zabalo"
"76","ZAB30","ZAB30B","Tayassu pecari",2018-07-10 15:28:01,2018-07-10,"15:28:01","Zabalo"
"77","ZAB30","ZAB30A","Pecari tajacu",2018-07-10 15:31:36,2018-07-10,"15:31:36","Zabalo"
"78","ZAB15","ZAB15B","Pecari tajacu",2018-07-10 16:17:23,2018-07-10,"16:17:23","Zabalo"
"79","ZAB9","ZAB9A","Psophia crepitans",2018-07-10 16:46:52,2018-07-10,"16:46:52","Zabalo"
"80","ZAB29","ZAB29B","Tapirus terrestris",2018-07-10 17:37:57,2018-07-10,"17:37:57","Zabalo"
"81","ZAB4","ZAB4B","Crypturellus undulatus",2018-07-10 17:55:52,2018-07-10,"17:55:52","Zabalo"
"82","ZAB25","ZAB25A","Myoprocta pratti",2018-07-10 18:01:38,2018-07-10,"18:01:38","Zabalo"
"83","ZAB8","ZAB8A","Tapirus terrestris",2018-07-10 18:51:54,2018-07-10,"18:51:54","Zabalo"
"84","ZAB21","ZAB21A","Cuniculus paca",2018-07-10 19:01:46,2018-07-10,"19:01:46","Zabalo"
"85","ZAB30","ZAB30A","Dasypus novemcinctus",2018-07-10 20:02:01,2018-07-10,"20:02:01","Zabalo"
"86","ZAB25","ZAB25A","Cuniculus paca",2018-07-10 21:08:10,2018-07-10,"21:08:10","Zabalo"
"87","ZAB22","ZAB22A","Dasypus novemcinctus",2018-07-10 23:16:42,2018-07-10,"23:16:42","Zabalo"
"88","ZAB8","ZAB8A","Dasyprocta fuliginosa",2018-07-11 01:09:11,2018-07-11,"1:09:11","Zabalo"
"89","ZAB16","ZAB16A","Didelphis marsupialis",2018-07-11 02:54:39,2018-07-11,"2:54:39","Zabalo"
"90","ZAB7","ZAB7B","Mazama gouazoubira",2018-07-11 05:03:06,2018-07-11,"5:03:06","Zabalo"
"91","ZAB28","ZAB28A","Mazama gouazoubira",2018-07-11 13:45:11,2018-07-11,"13:45:11","Zabalo"
"92","ZAB4","ZAB4B","Mitu salvini",2018-07-11 14:04:45,2018-07-11,"14:04:45","Zabalo"
"93","ZAB17","ZAB17A","Mazama gouazoubira",2018-07-11 16:50:00,2018-07-11,"16:50:00","Zabalo"
"94","ZAB8","ZAB8A","Mazama americana",2018-07-11 18:14:12,2018-07-11,"18:14:12","Zabalo"
"95","ZAB18","ZAB18A","Atelocynus microtis",2018-07-11 18:52:48,2018-07-11,"18:52:48","Zabalo"
"96","ZAB30","ZAB30B","Mazama americana",2018-07-11 20:57:20,2018-07-11,"20:57:20","Zabalo"
"97","ZAB30","ZAB30A","Mazama gouazoubira",2018-07-11 21:00:51,2018-07-11,"21:00:51","Zabalo"
"98","ZAB18","ZAB18A","Panthera onca",2018-07-11 22:29:59,2018-07-11,"22:29:59","Zabalo"
"99","ZAB22","ZAB22B","Cuniculus paca",2018-07-11 22:43:50,2018-07-11,"22:43:50","Zabalo"
"100","ZAB29","ZAB29A","Cuniculus paca",2018-07-11 23:00:03,2018-07-11,"23:00:03","Zabalo"
"101","ZAB30","ZAB30A","Dasypus novemcinctus",2018-07-12 00:55:56,2018-07-12,"0:55:56","Zabalo"
"102","ZAB2","ZAB2B","Dasypus novemcinctus",2018-07-12 01:31:30,2018-07-12,"1:31:30","Zabalo"
"103","ZAB25","ZAB25A","Myoprocta pratti",2018-07-12 07:32:29,2018-07-12,"7:32:29","Zabalo"
"104","ZAB3","ZAB3B","Tayassu pecari",2018-07-12 07:59:35,2018-07-12,"7:59:35","Zabalo"
"105","ZAB30","ZAB30A","Psophia crepitans",2018-07-12 11:59:05,2018-07-12,"11:59:05","Zabalo"
"106","ZAB16","ZAB16A","Mazama gouazoubira",2018-07-12 12:09:14,2018-07-12,"12:09:14","Zabalo"
"107","ZAB18","ZAB18A","Leucopternis melanops",2018-07-12 14:48:24,2018-07-12,"14:48:24","Zabalo"
"108","ZAB13","ZAB13A","Psophia crepitans",2018-07-12 17:05:48,2018-07-12,"17:05:48","Zabalo"
"109","ZAB11","ZAB11A","Myrmecophaga tridactyla",2018-07-12 17:48:11,2018-07-12,"17:48:11","Zabalo"
"110","ZAB4","ZAB4B","Cuniculus paca",2018-07-12 19:46:40,2018-07-12,"19:46:40","Zabalo"
"111","ZAB22","ZAB22A","Cuniculus paca",2018-07-12 21:53:26,2018-07-12,"21:53:26","Zabalo"
"112","ZAB8","ZAB8A","Cuniculus paca",2018-07-13 02:21:06,2018-07-13,"2:21:06","Zabalo"
"113","ZAB9","ZAB9A","Mazama americana",2018-07-13 05:04:52,2018-07-13,"5:04:52","Zabalo"
"114","ZAB24","ZAB24B","NA NA",2018-07-13 10:23:27,2018-07-13,"10:23:27","Zabalo"
"115","ZAB30","ZAB30A","Eira barbara",2018-07-13 11:42:12,2018-07-13,"11:42:12","Zabalo"
"116","ZAB13","ZAB13A","Psophia crepitans",2018-07-13 12:16:03,2018-07-13,"12:16:03","Zabalo"
"117","ZAB22","ZAB22A","Dasyprocta fuliginosa",2018-07-13 12:28:25,2018-07-13,"12:28:25","Zabalo"
"118","ZAB29","ZAB29A","Tayassu pecari",2018-07-13 13:07:55,2018-07-13,"13:07:55","Zabalo"
"119","ZAB19","ZAB19A","Pecari tajacu",2018-07-13 13:15:12,2018-07-13,"13:15:12","Zabalo"
"120","ZAB8","ZAB8A","Mazama gouazoubira",2018-07-13 15:37:58,2018-07-13,"15:37:58","Zabalo"
"121","ZAB9","ZAB9B","Mazama americana",2018-07-13 17:06:26,2018-07-13,"17:06:26","Zabalo"
"122","ZAB8","ZAB8A","Mazama gouazoubira",2018-07-13 17:16:04,2018-07-13,"17:16:04","Zabalo"
"123","ZAB23","ZAB23B","NA NA",2018-07-13 18:01:33,2018-07-13,"18:01:33","Zabalo"
"124","ZAB8","ZAB8A","Atelocynus microtis",2018-07-13 19:03:02,2018-07-13,"19:03:02","Zabalo"
"125","ZAB23","ZAB23B","Crypturellus undulatus",2018-07-14 06:26:22,2018-07-14,"6:26:22","Zabalo"
"126","ZAB18","ZAB18A","Psophia crepitans",2018-07-14 07:29:44,2018-07-14,"7:29:44","Zabalo"
"127","ZAB24","ZAB24B","Crypturellus undulatus",2018-07-14 08:16:40,2018-07-14,"8:16:40","Zabalo"
"128","ZAB17","ZAB17A","Mazama gouazoubira",2018-07-14 09:57:00,2018-07-14,"9:57:00","Zabalo"
"129","ZAB8","ZAB8A","Dasyprocta fuliginosa",2018-07-14 11:28:47,2018-07-14,"11:28:47","Zabalo"
"130","ZAB4","ZAB4A","Mazama americana",2018-07-14 11:46:42,2018-07-14,"11:46:42","Zabalo"
"131","ZAB24","ZAB24B","Pecari tajacu",2018-07-14 13:45:07,2018-07-14,"13:45:07","Zabalo"
"132","ZAB18","ZAB18B","Tayassu pecari",2018-07-14 13:47:42,2018-07-14,"13:47:42","Zabalo"
"133","ZAB8","ZAB8A","Mazama gouazoubira",2018-07-14 16:29:35,2018-07-14,"16:29:35","Zabalo"
"134","ZAB22","ZAB22A","Dasyprocta fuliginosa",2018-07-14 16:43:50,2018-07-14,"16:43:50","Zabalo"
"135","ZAB13","ZAB13A","Psophia crepitans",2018-07-14 17:41:08,2018-07-14,"17:41:08","Zabalo"
"136","ZAB9","ZAB9A","Mazama americana",2018-07-14 20:21:05,2018-07-14,"20:21:05","Zabalo"
"137","ZAB5","ZAB5A","Tapirus terrestris",2018-07-15 00:37:00,2018-07-15,"0:37:00","Zabalo"
"138","ZAB1","ZAB1B","Dasypus novemcinctus",2018-07-15 01:08:02,2018-07-15,"1:08:02","Zabalo"
"139","ZAB26","ZAB26A","Didelphis marsupialis",2018-07-15 03:21:21,2018-07-15,"3:21:21","Zabalo"
"140","ZAB21","ZAB21B","Dasypus novemcinctus",2018-07-15 04:40:53,2018-07-15,"4:40:53","Zabalo"
"141","ZAB13","ZAB13A","Psophia crepitans",2018-07-15 06:27:06,2018-07-15,"6:27:06","Zabalo"
"142","ZAB11","ZAB11A","Mazama americana",2018-07-15 07:13:34,2018-07-15,"7:13:34","Zabalo"
"143","ZAB13","ZAB13A","Pecari tajacu",2018-07-15 13:21:30,2018-07-15,"13:21:30","Zabalo"
"144","ZAB16","ZAB16A","Leucopternis melanops",2018-07-15 13:49:36,2018-07-15,"13:49:36","Zabalo"
"145","ZAB15","ZAB15A","Dasyprocta fuliginosa",2018-07-15 14:54:29,2018-07-15,"14:54:29","Zabalo"
"146","ZAB30","ZAB30B","Psophia crepitans",2018-07-15 17:00:20,2018-07-15,"17:00:20","Zabalo"
"147","ZAB15","ZAB15B","Myoprocta pratti",2018-07-15 17:53:55,2018-07-15,"17:53:55","Zabalo"
"148","ZAB22","ZAB22A","Mitu salvini",2018-07-15 18:00:09,2018-07-15,"18:00:09","Zabalo"
"149","ZAB24","ZAB24A","Cuniculus paca",2018-07-15 19:23:32,2018-07-15,"19:23:32","Zabalo"
"150","ZAB10","ZAB10A","Dasyprocta fuliginosa",2018-07-15 19:46:23,2018-07-15,"19:46:23","Zabalo"
"151","ZAB4","ZAB4B","Cuniculus paca",2018-07-15 20:01:34,2018-07-15,"20:01:34","Zabalo"
"152","ZAB22","ZAB22A","Tapirus terrestris",2018-07-16 01:06:58,2018-07-16,"1:06:58","Zabalo"
"153","ZAB18","ZAB18A","Tamandua tetradactyla",2018-07-16 03:06:01,2018-07-16,"3:06:01","Zabalo"
"154","ZAB5","ZAB5A","NAN NAN",2018-07-16 05:51:00,2018-07-16,"5:51:00","Zabalo"
"155","ZAB8","ZAB8A","Mazama americana",2018-07-16 05:57:03,2018-07-16,"5:57:03","Zabalo"
"156","ZAB4","ZAB4A","Pecari tajacu",2018-07-16 08:38:11,2018-07-16,"8:38:11","Zabalo"
"157","ZAB16","ZAB16A","Myrmecophaga tridactyla",2018-07-16 16:51:29,2018-07-16,"16:51:29","Zabalo"
"158","ZAB21","ZAB21A","Dasyprocta fuliginosa",2018-07-16 16:56:54,2018-07-16,"16:56:54","Zabalo"
"159","ZAB21","ZAB21A","Cuniculus paca",2018-07-16 22:11:42,2018-07-16,"22:11:42","Zabalo"
"160","ZAB2","ZAB2B","Mazama gouazoubira",2018-07-16 23:43:43,2018-07-16,"23:43:43","Zabalo"
"161","ZAB9","ZAB9A","Mazama americana",2018-07-17 00:55:46,2018-07-17,"0:55:46","Zabalo"
"162","ZAB2","ZAB2B","Dasypus novemcinctus",2018-07-17 03:30:19,2018-07-17,"3:30:19","Zabalo"
"163","ZAB24","ZAB24A","Cuniculus paca",2018-07-17 03:31:46,2018-07-17,"3:31:46","Zabalo"
"164","ZAB4","ZAB4B","Myoprocta pratti",2018-07-17 06:40:49,2018-07-17,"6:40:49","Zabalo"
"165","ZAB29","ZAB29A","Mitu salvini",2018-07-17 07:44:19,2018-07-17,"7:44:19","Zabalo"
"166","ZAB3","ZAB3A","Eira barbara",2018-07-17 09:04:13,2018-07-17,"9:04:13","Zabalo"
"167","ZAB8","ZAB8A","Mazama gouazoubira",2018-07-17 09:41:39,2018-07-17,"9:41:39","Zabalo"
"168","ZAB21","ZAB21A","Dasyprocta fuliginosa",2018-07-17 09:59:02,2018-07-17,"9:59:02","Zabalo"
"169","ZAB3","ZAB3A","Eira barbara",2018-07-17 11:10:26,2018-07-17,"11:10:26","Zabalo"
"170","ZAB11","ZAB11A","Eira barbara",2018-07-17 11:42:08,2018-07-17,"11:42:08","Zabalo"
"171","ZAB22","ZAB22A","Mazama gouazoubira",2018-07-17 17:18:34,2018-07-17,"17:18:34","Zabalo"
"172","ZAB23","ZAB23B","Cuniculus paca",2018-07-17 22:27:43,2018-07-17,"22:27:43","Zabalo"
"173","ZAB22","ZAB22A","Dasyprocta fuliginosa",2018-07-18 06:14:32,2018-07-18,"6:14:32","Zabalo"
"174","ZAB2","ZAB2B","Eira barbara",2018-07-18 06:41:17,2018-07-18,"6:41:17","Zabalo"
"175","ZAB15","ZAB15B","Mazama gouazoubira",2018-07-18 09:01:40,2018-07-18,"9:01:40","Zabalo"
"176","ZAB22","ZAB22A","Pecari tajacu",2018-07-18 14:43:38,2018-07-18,"14:43:38","Zabalo"
"177","ZAB10","ZAB10A","Eira barbara",2018-07-18 15:18:08,2018-07-18,"15:18:08","Zabalo"
"178","ZAB7","ZAB7B","Cebus albifrons",2018-07-18 15:48:57,2018-07-18,"15:48:57","Zabalo"
"179","ZAB30","ZAB30B","Pecari tajacu",2018-07-18 16:52:04,2018-07-18,"16:52:04","Zabalo"
"180","ZAB8","ZAB8B","Mazama gouazoubira",2018-07-18 18:00:20,2018-07-18,"18:00:20","Zabalo"
"181","ZAB21","ZAB21A","Cuniculus paca",2018-07-18 23:31:02,2018-07-18,"23:31:02","Zabalo"
"182","ZAB21","ZAB21A","Cuniculus paca",2018-07-19 00:09:37,2018-07-19,"0:09:37","Zabalo"
"183","ZAB21","ZAB21A","Mazama americana",2018-07-19 02:19:03,2018-07-19,"2:19:03","Zabalo"
"184","ZAB22","ZAB22A","Dasyprocta fuliginosa",2018-07-19 07:03:33,2018-07-19,"7:03:33","Zabalo"
"185","ZAB15","ZAB15A","NA NA",2018-07-19 08:50:09,2018-07-19,"8:50:09","Zabalo"
"186","ZAB7","ZAB7B","Pecari tajacu",2018-07-19 09:46:23,2018-07-19,"9:46:23","Zabalo"
"187","ZAB13","ZAB13A","Psophia crepitans",2018-07-19 12:39:39,2018-07-19,"12:39:39","Zabalo"
"188","ZAB18","ZAB18A","Pecari tajacu",2018-07-19 13:08:12,2018-07-19,"13:08:12","Zabalo"
"189","ZAB4","ZAB4A","Mazama gouazoubira",2018-07-19 21:04:30,2018-07-19,"21:04:30","Zabalo"
"190","ZAB9","ZAB9A","Tapirus terrestris",2018-07-19 21:18:40,2018-07-19,"21:18:40","Zabalo"
