"","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to","Total","CommunityName"
"48","ZAB24","ZAB24B",-0.3174331,-75.735311,2018-07-06,2018-10-09,NA,NA,NA,NA,NA,NA,95,"Zabalo"
"49","ZAB25","ZAB25A",-0.3002043,-75.724032,2018-07-08,2018-09-30,NA,NA,NA,NA,NA,NA,84,"Zabalo"
"51","ZAB26","ZAB26A",-0.2845973,-75.71331,2018-07-06,2018-10-04,2018-08-13,2018-08-24,2018-08-31,2018-09-29,NA,NA,50,"Zabalo"
"52","ZAB26","ZAB26B",-0.2845973,-75.71331,2018-07-06,2018-09-28,2018-07-27,2018-08-24,NA,NA,NA,NA,56,"Zabalo"
"53","ZAB27","ZAB27A",-0.3111467,-75.754517,2018-07-06,2018-07-14,NA,NA,NA,NA,NA,NA,8,"Zabalo"
"54","ZAB27","ZAB27B",-0.3111467,-75.754517,2018-07-06,2018-07-25,2018-07-14,2018-07-25,NA,NA,NA,NA,8,"Zabalo"
"55","ZAB28","ZAB28A",-0.2961788,-75.742542,2018-07-06,2018-09-27,NA,NA,NA,NA,NA,NA,83,"Zabalo"
"57","ZAB29","ZAB29A",-0.2737222,-75.732679,2018-07-06,2018-09-27,NA,NA,NA,NA,NA,NA,83,"Zabalo"
"58","ZAB29","ZAB29B",-0.2737222,-75.732679,2018-07-06,2018-07-14,NA,NA,NA,NA,NA,NA,8,"Zabalo"
"59","ZAB30","ZAB30A",-0.2646804,-75.716577,2018-07-06,2018-07-14,NA,NA,NA,NA,NA,NA,8,"Zabalo"
"60","ZAB30","ZAB30B",-0.2646804,-75.716577,2018-07-06,2018-09-27,NA,NA,NA,NA,NA,NA,83,"Zabalo"
